reaction,classification,v_plus,v_minus,v_net,cancellation_factor,max_abs_theta_net,max_abs_theta_directional
V_b_GLU_c,opposed MM/linear transport,4540.666312088174,3024.4571085681428,1516.2092035200312,4.989498416902579,2.509100749738165,1.0
V_b_GLY_c,opposed MM/linear transport,2747.2360351349485,890.4618449904109,1856.7741901445374,1.9591493135964955,0.5959353494442109,1.0
V_b_SER_c,opposed MM/linear transport,1350.0,583.1945569431622,766.8054430568378,2.52110176635753,0.760550883178765,1.0
V_b_MET_c,opposed MM/linear transport,152.23333333333332,61.180140701378534,91.05319263195479,2.343832960337243,0.6719164801686216,1.0
VmSHMT,difference of independent saturating directional rates,2605.5849689731017,2565.533102569479,40.051866403622626,129.11053930497636,64.02199178864159,0.9994804820270506
VmFTS,difference of independent saturating directional rates,1128.7805074405815,2695.436346847326,-1566.6558394067447,2.441006351296688,0.9843909860437733,0.5721529608178848
VmNE,shared-factor mass-action difference,308.0401935971157,33.26643277848494,274.77376081863076,1.2421368960367585,1.1210684480183792,1.0
VmMTD,difference of independent saturating directional rates,81728.53069333114,79687.98668851641,2040.5440048147284,79.10464905485016,33.813265407733034,0.865845140255023
VmMTCH,difference of independent saturating directional rates,4865.976140759882,2825.432135945121,2040.5440048147607,3.7692930211535542,2.3699583675076465,0.9938405365306835
VmSERc,difference of independent saturating transport rates,914.830976664928,928.1815987994685,-13.350622134540458,138.04694319796465,63.07043089669905,0.9071818401200532
VmHCOOHc,shared-factor linear directional rates,2625.2512122697394,2103.0325991341597,522.2186131355797,9.054223063811648,5.027111531905825,1.0
VmGLYc,difference of independent saturating transport rates,856.296317424873,1351.137243389513,-494.84092596464006,4.460895299860713,2.361526698835729,0.8648862756610486
VcSHMT,difference of independent saturating directional rates,101.65142983851685,126.96624517218649,-25.314815333669642,9.030983319346335,5.014972451509735,0.9998964791093948
VcNE,shared-factor mass-action difference,30.97341560943913,7.28862522357546,23.68479038586367,1.6154688392704284,1.3077344196352143,1.0
VcMTD,difference of independent saturating directional rates,11368.797961424245,11505.14180751184,-136.343846087595,167.76657271528464,82.76521689809472,0.9808247636541468
VcMTCH,difference of independent saturating directional rates,390.69676154964424,527.0406076372395,-136.3438460875953,6.731050909311121,3.7636610104326156,0.9992186064769008
V_SAHH,difference of independent saturating directional rates,199.01475771055343,27.62954064686394,171.38521706368948,1.3224261826105617,0.43903014750389585,0.9939007636541138
V_GCS,common-denominator reversible numerator,1304.4972125743047,6.6540463703389136e-06,1304.4972059202585,1.0000000102017026,0.4735752111225544,0.9999999724128166
V_GS,common-denominator reversible numerator,1304.6562537121956,0.1590477919365976,1304.497205920259,1.000243845354693,0.6771219349805286,0.9945020516367596
