t_h,a,Y,rho,SAM_uM,Put_uM,dYdt_per_h
0.0,3.5,1.9618934292588461,0.8830597894509334,44.49117993350115,126.28868651861896,-3.7007434154171886e-16
8.0,3.49976,1.9618877097041327,0.8830588862921086,44.49119998578264,126.28863898685036,-1.3616800307036936e-06
16.0,3.49952,1.961871705221313,0.8830563590230147,44.49126323420307,126.28846261969909,-2.6363621754257573e-06
24.0,3.49928,1.9618460912551638,0.8830523141781744,44.49136679728927,126.28816484105504,-3.829733272243798e-06
32.0,3.49904,1.961811410101579,0.8830468372053933,44.49150754178652,126.28776243391901,-4.946018239705542e-06
40.0,3.4988,1.961767999643352,0.8830399812193082,44.49168422660586,126.2872591568595,-5.988145195583932e-06
48.0,3.49856,1.9617166058178683,0.8830318637414242,44.49189347897608,126.28666932944198,-6.962321345064002e-06
56.0,3.49832,1.961657376227337,0.8830225077613997,44.4921349535058,126.28599196004254,-7.869908138659806e-06
64.0,3.49808,1.9615912928187613,0.8830120680440161,44.49240483483909,126.28523847971441,-8.719339943107239e-06
72.0,3.49784,1.9615185633181824,0.8830005770501848,44.49270232661205,126.28441067276825,-9.512405945568928e-06
80.0,3.4976,1.9614395728160896,0.8829880952492001,44.493025946402746,126.28351220604624,-1.0252420811306272e-05
88.0,3.49736,1.9613548101085878,0.8829746995006305,44.49337378480719,126.2825487254402,-1.0943580503467195e-05
96.0,3.49712,1.9612646062676609,0.8829604417478455,44.49374430069282,126.2815254345885,-1.1588624751448754e-05
104.0,3.49688,1.9611694141142542,0.8829453931896072,44.49413574039811,126.28044722322417,-1.2191447778632977e-05
112.0,3.49664,1.9610695497461546,0.8829296034298878,44.494546713044215,126.27931864844439,-1.275469947701397e-05
120.0,3.4964,1.9609653001695362,0.8829131174869439,44.49497591421202,126.2781441454081,-1.3280768945800325e-05
128.0,3.49616,1.9608570545652109,0.8828959965568589,44.495421746185094,126.27692848258643,-1.3772966050506424e-05
136.0,3.49592,1.9607449739893956,0.8828782657748232,44.49588353166122,126.27567325104383,-1.4232655520218178e-05
144.0,3.49568,1.9606293432252144,0.8828599698618681,44.49636006479149,126.27438203403328,-1.466224483002216e-05
152.0,3.49544,1.9605103981636265,0.8828411458249487,44.49685038728193,126.27305728024483,-1.5063745436543084e-05
160.0,3.4952,1.960388364835594,0.882821829130645,44.497353614629304,126.27170099532731,-1.5439098781572236e-05
168.0,3.49496,1.9602634297976678,0.8828020490163969,44.4978690003763,126.27031483267729,-1.5789900829661487e-05
176.0,3.49472,1.960135793683291,0.8827818369667194,44.49839569992835,126.26890121959778,-1.6117850237418185e-05
184.0,3.49448,1.9600056189981825,0.8827612184473904,44.49893308549278,126.26746134868563,-1.642434668507516e-05
192.0,3.49424,1.9598730712542676,0.8827402194175371,44.49948046399518,126.26599708435474,-1.6710793239227417e-05
200.0,3.494,1.959738310386469,0.8827188649709821,44.50003713568014,126.26451056669634,-1.697853314373986e-05
208.0,3.49376,1.959601471240607,0.8826971762432617,44.50060254120012,126.26300320402686,-1.722871193751696e-05
216.0,3.49352,1.9594626994958286,0.8826751761035213,44.50117607934436,126.26147654017025,-1.7462568110640816e-05
224.0,3.49328,1.9593221161945125,0.8826528835320491,44.50175722564173,126.25993208269976,-1.7681120598384004e-05
232.0,3.49304,1.9591798340803963,0.8826303162080296,44.50234552524915,126.25837087209776,-1.7885332495723746e-05
240.0,3.4928,1.9590359725131354,0.8826074928749745,44.50294050876065,126.25679388711464,-1.8076228166836862e-05
248.0,3.49256,1.9588906527461893,0.8825844325930821,44.50354166473858,126.25520249596515,-1.8254833649064858e-05
256.0,3.49232,1.9587439283861516,0.8825611437008639,44.50414880238449,126.25359686600459,-1.8421618250312004e-05
264.0,3.49208,1.9585959209194332,0.8825376453217887,44.50476142109297,126.25197824090804,-1.8577614603958335e-05
272.0,3.49184,1.9584467070563656,0.8825139494855058,44.505379201194636,126.25034741781889,-1.8723473797999102e-05
280.0,3.4916,1.9582963563285232,0.8824900670921461,44.506001849051046,126.24870515578037,-1.8859784427711758e-05
288.0,3.49136,1.9581449633072392,0.8824660130308023,44.506628980530074,126.24705234424823,-1.898735265201987e-05
296.0,3.49112,1.957992569057494,0.8824417937002637,44.50726041164222,126.24538953857152,-1.9106522166967288e-05
304.0,3.49088,1.9578392598826857,0.8824174226974286,44.50789578795206,126.2437175866481,-1.921802693579296e-05
312.0,3.49064,1.9576850935041237,0.8823929090872138,44.508534871623205,126.24203705680682,-1.9322357866150924e-05
320.0,3.4904,1.9575301150507012,0.8823682599403081,44.50917747955639,126.24034835840564,-1.9419900153352005e-05
328.0,3.49016,1.9573743809942687,0.8823434841390702,44.50982337944409,126.23865204290824,-1.951113407803246e-05
336.0,3.48992,1.9572179437892794,0.8823185899353554,44.51047235872627,126.23694858552686,-1.959650707512707e-05
344.0,3.48968,1.9570608471385194,0.8822935841961138,44.511124241369316,126.23523836792967,-1.9676392466018895e-05
352.0,3.48944,1.956903133515151,0.8822684735994328,44.511778853564714,126.23352179102739,-1.9751151883687675e-05
360.0,3.4892,1.9567448425422638,0.8822432643762519,44.51243603096971,126.23179925233468,-1.982112177052896e-05
368.0,3.48896,1.9565860094287288,0.882217962060624,44.51309563141577,126.23007106041952,-1.9886602723657844e-05
376.0,3.48872,1.9564266708119,0.8821925724199603,44.513757499791396,126.22833761900256,-1.9947904452048846e-05
384.0,3.48848,1.9562668569342274,0.8821671002082786,44.514421510842816,126.22659922673594,-2.000528384071523e-05
392.0,3.48824,1.9561065982264225,0.8821415502145737,44.515087538839296,126.2248561827663,-2.0058999433978746e-05
400.0,3.488,1.9559459239285493,0.882115927042971,44.51575546406177,126.22310876312845,-2.010930008189107e-05
408.0,3.48776,1.9557848589733349,0.8820902346152789,44.51642518218971,126.22135722605053,-2.0156397095630637e-05
416.0,3.48752,1.955623427549155,0.8820644767386739,44.51709659780965,126.2196017589191,-2.0200497849512696e-05
424.0,3.48728,1.9554616568668988,0.8820386577068516,44.51776959794251,126.21784263478004,-2.0241833159838505e-05
432.0,3.48704,1.9552995662413697,0.8820127805573608,44.51844410406053,126.21608002801739,-2.028056767432636e-05
440.0,3.4868,1.9551371729973712,0.8819868480131766,44.51912004595937,126.21431409207773,-2.0316849190771873e-05
448.0,3.48656,1.9549745014674815,0.8819608639197276,44.5197973239494,126.2125450560648,-2.035088458878725e-05
456.0,3.48632,1.9548115624968045,0.8819348299713228,44.52047589123083,126.2107730460746,-2.0382765321899335e-05
464.0,3.48608,1.954648378063676,0.8819087496436612,44.52115565812419,126.20899826463867,-2.0412678373061945e-05
472.0,3.48584,1.9544849621454288,0.8818826251369725,44.5218365666309,126.20722085048841,-2.044074237151114e-05
480.0,3.4856,1.9543213273530962,0.8818564584353662,44.52251856426337,126.20544093042558,-2.0467064294815707e-05
488.0,3.48536,1.954157491163388,0.8818302523035045,44.52320157897705,126.20365867299923,-2.0491792506762944e-05
496.0,3.48512,1.9539934619063983,0.8818040080454445,44.52388557722793,126.20187414965767,-2.0514998208111103e-05
504.0,3.48488,1.953829252683306,0.8817777277303464,44.524570505161286,126.20008748494334,-2.0536792714650105e-05
512.0,3.48464,1.9536648745753236,0.8817514131062327,44.52525631739342,126.19829878219616,-2.0557270270147062e-05
520.0,3.4844,1.9535003381732676,0.881725065844514,44.52594297052351,126.19650814034338,-2.057652092616386e-05
528.0,3.48416,1.9533356526215204,0.8816986873867305,44.526630427365106,126.19471564169301,-2.0594622569854017e-05
536.0,3.48392,1.9531708270225836,0.8816722791693047,44.527318649998975,126.19292137820086,-2.061165233874846e-05
544.0,3.48368,1.9530058692967058,0.8816458424407504,44.5280076060482,126.19112542290371,-2.062767761975806e-05
552.0,3.48344,1.9528407871938258,0.8816193784236601,44.52869726351763,126.18932785087405,-2.064276420813169e-05
560.0,3.4832,1.95267558808728,0.8815928882815861,44.529387591860996,126.18752873478228,-2.0656974651629535e-05
568.0,3.48296,1.9525102783260073,0.8815663730150405,44.530078564769134,126.18572813715384,-2.0670362818041453e-05
576.0,3.48272,1.9523448647228785,0.8815398337000944,44.530770154543724,126.18392611932921,-2.0682986703660397e-05
584.0,3.48248,1.9521793528800906,0.8815132712196937,44.531462337994505,126.18212273628764,-2.0694893845146163e-05
592.0,3.48224,1.952013748072634,0.8814866864052356,44.532155093570225,126.18031803666551,-2.070612911814207e-05
600.0,3.482,1.9518480559213904,0.8814600801445962,44.53284839832202,126.17851207209573,-2.0716740324638883e-05
608.0,3.48176,1.9516822820661246,0.8814334533296782,44.53354222906926,126.17670489612013,-2.072677535007296e-05
616.0,3.48152,1.9515164290775686,0.8814068063602238,44.53423657525951,126.1748965331055,-2.0736256094722183e-05
624.0,3.48128,1.951350502628994,0.8813801401351068,44.534931413635626,126.17308703622393,-2.0745230732754916e-05
632.0,3.48104,1.9511845063259579,0.8813534552217648,44.5356267293119,126.17127644051217,-2.0753729872800984e-05
640.0,3.4808,1.9510184434398186,0.8813267521345263,44.53632250874363,126.16946477820949,-2.0761781273618645e-05
648.0,3.48056,1.9508523184064475,0.8813000315756309,44.53701873372477,126.16765209118387,-2.0769422592791737e-05
656.0,3.48032,1.9506861331469065,0.8812732938434417,44.537715396369975,126.1658383978458,-2.0776670191686224e-05
664.0,3.48008,1.95051989171327,0.8812465395796636,44.538412480002556,126.16402373696212,-2.0783558444780687e-05
672.0,3.47984,1.9503535966382275,0.8812197691820974,44.53910997427582,126.16220813213937,-2.0790108897605908e-05
680.0,3.4796,1.9501872501964197,0.8811929830074343,44.539807869925426,126.16039160433331,-2.0796340915837622e-05
688.0,3.47936,1.950020855565683,0.8811661815582688,44.540506153894924,126.15857418381913,-2.080228146750857e-05
696.0,3.47912,1.9498544140633722,0.8811393650379659,44.54120482085486,126.15675588259478,-2.0807941808960297e-05
704.0,3.47888,1.94968792856721,0.8811125339016286,44.54190385901109,126.15493672781385,-2.0813346370385233e-05
712.0,3.47864,1.9495214008755415,0.8810856884308476,44.54260326100348,126.15311673656745,-2.0818510445346093e-05
720.0,3.4784,1.9493548326072911,0.8810588288785959,44.54330302020427,126.15129592432514,-2.08234478038342e-05
728.0,3.47816,1.9491882260096436,0.8810319555994863,44.54400312742208,126.14947431222484,-2.0828177532742106e-05
736.0,3.47792,1.9490215820416465,0.8810050687406714,44.54470357874512,126.14765190956707,-2.0832707815264682e-05
744.0,3.47768,1.9488549027415634,0.8809781686236705,44.54540436583388,126.14582873561068,-2.0837055960913773e-05
752.0,3.47744,1.9486881893930448,0.88095125544853,44.5461054834674,126.14400480241449,-2.0841232901420208e-05
760.0,3.4772,1.948521443153326,0.880924329395109,44.54680692694985,126.1421801208028,-2.0845248499135665e-05
768.0,3.47696,1.9483546656217725,0.8808973907148965,44.54750868974896,126.14035470591622,-2.0849116343455184e-05
776.0,3.47672,1.9481878574795641,0.8808704395112961,44.548210769150536,126.13852856389738,-2.0852842276834914e-05
784.0,3.47648,1.948021020179358,0.8808434760125309,44.548913159231574,126.13670170845556,-2.0856438645420566e-05
792.0,3.4762399999999998,1.9478541546336112,0.8808165003597425,44.549615856306055,126.13487414811229,-2.0859913233223226e-05
800.0,3.476,1.947687261664195,0.8807895126795845,44.55031885706193,126.13304589053236,-2.0863273057225573e-05
808.0,3.47576,1.9475203424098984,0.8807625131501258,44.551022156878666,126.1312169463812,-2.086652780830842e-05
816.0,3.47552,1.9473533973534654,0.8807355018434769,44.55172575383974,126.12938732018922,-2.0869681634153963e-05
824.0,3.47528,1.9471864275284676,0.8807084789209936,44.55242964375917,126.12755702162353,-2.0872743333338268e-05
832.0,3.47504,1.9470194340001101,0.8806814445493383,44.55313382236764,126.1257260606012,-2.0875721988595898e-05
840.0,3.4748,1.946852416830754,0.8806543987329462,44.55383828943312,126.12389443767314,-2.0878618172869785e-05
848.0,3.47456,1.9466853759537495,0.8806273414553608,44.554543045214,126.12206215223021,-2.0881431352703927e-05
856.0,3.47432,1.946518314094592,0.8806002731525732,44.555248078790925,126.12022922958553,-2.0884184703803513e-05
864.0,3.47408,1.9463512300375243,0.880573193622215,44.55595339503468,126.11839565844771,-2.0886867936399502e-05
872.0,3.47384,1.9461841248529663,0.8805461030323726,44.55665898972033,126.11656144862795,-2.088949019692859e-05
880.0,3.4736,1.9460169992208944,0.880519001488001,44.557364860164064,126.11472660635874,-2.089205730555303e-05
888.0,3.47336,1.9458498527043633,0.8804918889129775,44.55807100809391,126.11289112762861,-2.0894565574802737e-05
896.0,3.47312,1.9456826870169688,0.8804647655800796,44.558777426805634,126.11105502803082,-2.0897029645817868e-05
904.0,3.47288,1.9455155013943295,0.8804376313601625,44.559484119289785,126.10921830060968,-2.0899443030337874e-05
912.0,3.47264,1.9453482966448958,0.8804104863793191,44.560191082406966,126.10738095268714,-2.0901812659482014e-05
920.0,3.4724,1.945181073282229,0.8803833307158911,44.560898314162884,126.10554298891437,-2.0904142945273502e-05
928.0,3.47216,1.945013830975729,0.8803561643111707,44.56160581584465,126.10370440629099,-2.0906431094616343e-05
936.0,3.47192,1.9448465710094314,0.8803289873687742,44.56231358252292,126.10186521633898,-2.0908688117943835e-05
944.0,3.47168,1.944679292810568,0.8803017997907235,44.56302161639651,126.10002541391876,-2.091090914235452e-05
952.0,3.47144,1.944511996965019,0.8802746016673271,44.5637299152506,126.09818500421862,-2.091309921910102e-05
960.0,3.4712,1.9443446838449594,0.8802473930542397,44.56443847767821,126.0963439905344,-2.091526156545546e-05
968.0,3.47096,1.9441773532097468,0.8802201739074836,44.56514730459296,126.09450237072755,-2.09173941445996e-05
976.0,3.47072,1.9440100059717074,0.8801929443706633,44.56585639261297,126.0926601527481,-2.091950483215335e-05
984.0,3.47048,1.9438426417238808,0.8801657043727923,44.56656574324678,126.09081733304978,-2.0921590150540454e-05
992.0,3.47024,1.943675260879142,0.8801384539762991,44.567275354999886,126.08897391516223,-2.0923653691283055e-05
1000.0,3.47,1.9435078636997662,0.8801111932191567,44.567985226922936,126.08712990132759,-2.0925697743975594e-05
1008.0,3.46976,1.943340450016047,0.8800839220690058,44.56869535963418,126.0852852900875,-2.0927720867752126e-05
1016.0,3.46952,1.9431730204687747,0.8800566406255366,44.569405750882545,126.08344008678975,-2.0929728649282664e-05
1024.0,3.46928,1.943005574772113,0.8800293488375034,44.57011640167217,126.08159428904888,-2.0931718629925895e-05
1032.0,3.46904,1.9428381132153836,0.88000204674739,44.57082731102408,126.0797478992075,-2.093369335955571e-05
1040.0,3.4688,1.9426706359823753,0.879974734380518,44.57153847831638,126.07790091875377,-2.0935654465771404e-05
1048.0,3.46856,1.942503142954095,0.8799474117128417,44.57224990395577,126.07605334671635,-2.0937600933505312e-05
1056.0,3.46832,1.9423356345783434,0.8799200788127897,44.57296158649703,126.07420518658634,-2.0939536724033186e-05
1064.0,3.46808,1.9421681106553703,0.8798927356431631,44.57367352658483,126.07235643680649,-2.0941460102276894e-05
1072.0,3.46784,1.9420005713866404,0.8798653822322374,44.574385723607314,126.07050709887376,-2.0943372877909223e-05
1080.0,3.4676,1.9418330169001314,0.8798380185963203,44.575098177175846,126.06865717373913,-2.094527620812488e-05
1088.0,3.46736,1.9416654471129031,0.8798106447172804,44.57581088754651,126.06680666077817,-2.094716938040432e-05
1096.0,3.46712,1.9414978623353687,0.8797832606412538,44.5765238538493,126.06495556215795,-2.094905519997889e-05
1104.0,3.46688,1.9413302624290627,0.8797558663410515,44.57723707647231,126.0631038769118,-2.0950932446408183e-05
1112.0,3.46664,1.9411626475328612,0.8797284618348078,44.57795055506582,126.06125160593332,-2.09528024025364e-05
1120.0,3.4664,1.9409950177349837,0.8797010471323943,44.5786642894077,126.05939874979015,-2.095466589073965e-05
1128.0,3.46616,1.9408273729781713,0.8796736222198946,44.57937827964652,126.05754530810543,-2.095652241382923e-05
1136.0,3.46592,1.940659713474933,0.8796461871275295,44.58009252532274,126.05569128210159,-2.0958373953787622e-05
1144.0,3.46568,1.9404920391304756,0.8796187418352499,44.58080702664135,126.05383667123334,-2.0960219656736125e-05
1152.0,3.46544,1.9403243500390643,0.8795912863539449,44.58152178344018,126.05198147596286,-2.096206043039925e-05
1160.0,3.4652,1.9401566462605802,0.8795638206888877,44.58223679561622,126.05012569658379,-2.0963896858815996e-05
1168.0,3.46496,1.9399889277560687,0.8795363448291661,44.5829520632411,126.04826933289621,-2.096572859813486e-05
