t_h,a,Y,rho,SAM_uM,Put_uM,dYdt_per_h
0.0,2.3,0.4506841587035675,0.08386422217897604,63.18095466440891,99.10307541245625,3.0429594029731294e-13
8.0,2.3002399999999996,0.45068474253481366,0.08386452076761852,63.18094928665326,99.10307697812897,1.0147359682383117e-07
16.0,2.30048,0.4506860918438317,0.083865210846548,63.18093554797835,99.1030819715126,1.9760532905501974e-07
24.0,2.3007199999999997,0.4506880889427644,0.08386623223122233,63.18091446981624,99.10309053131118,2.8923613942414025e-07
32.0,2.30096,0.45069077778780064,0.08386760740920525,63.18088566262944,99.10310256928592,3.760545753352261e-07
40.0,2.3011999999999997,0.4506940953425659,0.08386930415026418,63.18084963046736,99.10311845366667,4.5851435596162064e-07
48.0,2.30144,0.45069804936860963,0.08387132643469361,63.18080631126734,99.10313813911394,5.365611831247163e-07
56.0,2.3016799999999997,0.4507026282641336,0.0838736683414546,63.18075585048489,99.103161521696,6.102761441843333e-07
64.0,2.30192,0.4507077576558807,0.08387629184548463,63.1806990299893,99.10318842587965,6.801814434071832e-07
72.0,2.3021599999999998,0.45071343466423114,0.08387919548830705,63.180635880053345,99.10321884486852,7.462985165337943e-07
80.0,2.3024,0.4507196337471597,0.08388236622128535,63.18056671896145,99.10325252767491,8.088041085408454e-07
88.0,2.30264,0.4507263292831609,0.08388579095548823,63.18049183451697,99.10328934312741,8.678775692079631e-07
96.0,2.30288,0.4507334942200989,0.08388945587033265,63.180411528783814,99.10332916003263,9.237082484921574e-07
104.0,2.30312,0.45074109790762845,0.08389334530450834,63.18032616076287,99.10337176641686,9.765093164267509e-07
112.0,2.3033599999999996,0.4507491145300937,0.08389744606928433,63.18023602122841,99.10341702713782,1.0264611979151566e-06
120.0,2.3036,0.4507575233184758,0.08390174755705598,63.18014134151482,99.10346484783746,1.0737093649143857e-06
128.0,2.3038399999999997,0.4507662993583352,0.08390623703917634,63.18004240404489,99.10351509308272,1.118427724025749e-06
136.0,2.30408,0.45077542035714285,0.08391090312756012,63.17993946171961,99.1035676392991,1.160771898555155e-06
144.0,2.3043199999999997,0.45078487350784496,0.08391573928614536,63.179832657664015,99.10362242085509,1.200831780170787e-06
152.0,2.30456,0.45079463439392403,0.08392073303902678,63.17972226854834,99.10367930530906,1.23877763500717e-06
160.0,2.3047999999999997,0.45080469162800146,0.08392587857533826,63.17960842874665,99.10373820064748,1.2746889065816546e-06
168.0,2.30504,0.45081502795252004,0.08393116708040882,63.179491335388775,99.10379900281757,1.3086859744747732e-06
176.0,2.3052799999999998,0.45082562699309153,0.08393659019065974,63.179371176300556,99.10386160991108,1.3408829900554388e-06
184.0,2.30552,0.4508364785846051,0.08394214271891196,63.17924807327815,99.10392593360537,1.3713507016575404e-06
192.0,2.30576,0.4508475657853797,0.08394781600995382,63.17912222009342,99.1039918705413,1.4002071350731492e-06
200.0,2.3059999999999996,0.45085887867761026,0.08395360500189397,63.17899373179359,99.10405935465907,1.4275215069794085e-06
208.0,2.30624,0.45087040428284386,0.08395950306607297,63.1788627585278,99.10412829944367,1.4533841884912308e-06
216.0,2.3064799999999996,0.45088213006371675,0.08396550379878932,63.17872944501372,99.1041986229723,1.477882478613061e-06
224.0,2.30672,0.45089404752094825,0.0839716028621887,63.17859388839364,99.10427027588398,1.5010757726314278e-06
232.0,2.3069599999999997,0.45090614564572284,0.0839777946335257,63.17845621551246,99.10434318798113,1.5230407398985253e-06
240.0,2.3072,0.4509184146028633,0.08398407409002302,63.17831654057741,99.10441729181477,1.5438458357622253e-06
248.0,2.3074399999999997,0.4509308452891826,0.08399043658290588,63.17817496885069,99.10449252758337,1.5635544543797354e-06
256.0,2.30768,0.4509434292062909,0.08399687777234621,63.17803159874099,99.10456883890846,1.582225768883499e-06
264.0,2.3079199999999997,0.4509561583082716,0.08400339354953057,63.17788652456139,99.1046461664853,1.5999157191697495e-06
272.0,2.30816,0.4509690251529457,0.0840099801141221,63.17773983305001,99.10472445816302,1.6166760854235653e-06
280.0,2.3084,0.45098202239176144,0.0840166337131647,63.17759160960554,99.10480366401192,1.6325579916396444e-06
288.0,2.30864,0.4509951433224312,0.08402335092400286,63.17744193256603,99.10488373624986,1.6476080438433528e-06
296.0,2.30888,0.45100838163279805,0.0840301285232035,63.17729087567346,99.10496463016423,1.6618701352663325e-06
304.0,2.3091199999999996,0.45102173094423126,0.08403696325280371,63.17713851243408,99.10504630587357,1.6753886627990687e-06
312.0,2.30936,0.4510351857035254,0.08404385227696604,63.17698490766642,99.10512872465497,1.6882022434778271e-06
320.0,2.3095999999999997,0.4510487402855257,0.08405079272256243,63.17683012677878,99.10521184826703,1.7003499868399762e-06
328.0,2.30984,0.45106238951445526,0.08405778194611312,63.17667422987012,99.10529564219753,1.711867887625883e-06
336.0,2.3100799999999997,0.45107612853202117,0.08406481746628772,63.176517273471674,99.10538007350398,1.7227897233826649e-06
344.0,2.31032,0.4510899525938596,0.08407189685969002,63.17635931337165,99.105465106762,1.7331484286489057e-06
352.0,2.3105599999999997,0.45110385740509584,0.08407901793271869,63.176200399647556,99.105550712376,1.7429738537482075e-06
360.0,2.3108,0.4511178387446092,0.08408617852917537,63.176040581701805,99.10563686030099,1.7522953120972333e-06
368.0,2.3110399999999998,0.45113189271886556,0.08409337666027811,63.17587990521447,99.10572352227885,1.761139837354474e-06
376.0,2.31128,0.4511460156646576,0.0841006104548776,63.175718413112925,99.10581067204586,1.7695328661094923e-06
384.0,2.31152,0.45116020397618406,0.08410787807090361,63.17555614721868,99.10589828610355,1.7774994550504946e-06
392.0,2.31176,0.45117445444191073,0.08411517786792896,63.17539314519082,99.10598634142612,1.7850619022374836e-06
400.0,2.312,0.45118876384564366,0.08412250820284878,63.175229444492324,99.10607481617924,1.7922425424641964e-06
408.0,2.3122399999999996,0.4512031292370511,0.08412986756846781,63.17506507948407,99.10616369046406,1.7990618677168274e-06
416.0,2.31248,0.4512175479182755,0.0841372545866709,63.17490008165451,99.10625294575553,1.8055386156618873e-06
424.0,2.3127199999999997,0.45123201718983014,0.08414466787825875,63.174734482759966,99.10634256207348,1.8116915079979502e-06
432.0,2.31296,0.45124653414390276,0.08415210595703758,63.17456831667632,99.10643251976033,1.81754071074125e-06
440.0,2.3131999999999997,0.45126109696482725,0.0841595678961643,63.17440160486223,99.10652280498334,1.823098841453874e-06
448.0,2.31344,0.4512757031989048,0.08416705244167776,63.17423437607683,99.10661340023971,1.8283829101827427e-06
456.0,2.3136799999999997,0.45129035051625715,0.08417455840283615,63.174066657587424,99.10670428915611,1.8334090688487064e-06
464.0,2.31392,0.45130503733292876,0.0841820849709479,63.17389846793474,99.10679546071505,1.8381883312959226e-06
472.0,2.3141599999999998,0.45131976123338136,0.08418963091097835,63.17372983543095,99.10688689769059,1.8427374195439938e-06
480.0,2.3144,0.4513345207970313,0.0841971954976062,63.173560776635604,99.10697859056302,1.8470662143696724e-06
488.0,2.31464,0.451349314144002,0.08420477776995973,63.17339131354384,99.10707052620869,1.851187743585583e-06
496.0,2.3148799999999996,0.4513641394665868,0.08421237680397758,63.17322146732086,99.10716269192798,1.8551145307248624e-06
504.0,2.31512,0.45137899558331684,0.08421999199643682,63.17305125180251,99.10725507945313,1.8588547894849798e-06
512.0,2.3153599999999996,0.4513938809213541,0.08422762254337099,63.17288068539661,99.10734767779691,1.8624194181566923e-06
520.0,2.3156,0.45140879406709433,0.08423526772229194,63.172709784694575,99.10744047683683,1.8658182119239542e-06
528.0,2.3158399999999997,0.4514237337264294,0.08424292687183614,63.172538564882025,99.1075334673349,1.8690601402276963e-06
536.0,2.31608,0.45143869869317893,0.08425059937559391,63.17236704010994,99.10762664070383,1.872153564017968e-06
544.0,2.3163199999999997,0.451453687805758,0.08425828463990212,63.17219522399078,99.10771998875701,1.875106534433229e-06
552.0,2.31656,0.45146870000637884,0.08426598212420551,63.172023128954336,99.10781350386844,1.877926383317716e-06
560.0,2.3167999999999997,0.45148373424035704,0.08427369128943515,63.17185076733772,99.10790717873311,1.880620420852439e-06
568.0,2.31704,0.45149878954559375,0.08428141164389596,63.17167815041009,99.10800100661521,1.8831953166035315e-06
576.0,2.31728,0.45151386501642155,0.08428914272473703,63.17150528878476,99.1080949811497,1.8856573488058704e-06
584.0,2.31752,0.4515289597408587,0.08429688406577844,63.171332193145886,99.10818909593713,1.8880128356415443e-06
592.0,2.31776,0.45154407291982124,0.08430463525865271,63.171158872845275,99.10828334543639,1.890267317973846e-06
600.0,2.3179999999999996,0.4515592038003858,0.08431239591858866,63.17098533672965,99.10837772422464,1.8924260145178956e-06
608.0,2.31824,0.45157435155610465,0.08432016562302576,63.17081159448789,99.10847222647094,1.8944946464703583e-06
616.0,2.3184799999999997,0.45158951545692505,0.0843279439987672,63.1706376546802,99.10856684702033,1.8964782708192413e-06
624.0,2.31872,0.4516046950045134,0.08433573079141256,63.17046352317059,99.10866158224522,1.8983803519568977e-06
632.0,2.3189599999999997,0.4516198893981347,0.08434352559137395,63.17028920934682,99.10875642649539,1.9002064262687208e-06
640.0,2.3192,0.45163509816416847,0.08435132815680607,63.17011471875827,99.10885137645977,1.9019597856361388e-06
648.0,2.3194399999999997,0.4516503206838076,0.08435913817132487,63.16994005866292,99.10894642776105,1.9036447143689412e-06
656.0,2.31968,0.45166555637549965,0.08436695533759858,63.16976523588015,99.10904157629457,1.9052652392252216e-06
664.0,2.3199199999999998,0.4516808048506037,0.08437477945722315,63.16959025495882,99.10913681937001,1.906824063915692e-06
672.0,2.32016,0.451696065500245,0.08438261021874274,63.16941512303998,99.10923215268282,1.9083253981770786e-06
680.0,2.3204,0.4517113379753103,0.08439044744394188,63.169239844218296,99.10932757376249,1.9097716706793008e-06
688.0,2.32064,0.45172662180740186,0.08439829089335275,63.169064423985475,99.10942307930816,1.9111661254817003e-06
696.0,2.32088,0.4517419165560613,0.08440614034179891,63.16888886750714,99.10951866620796,1.9125118134208672e-06
704.0,2.3211199999999996,0.45175722193251433,0.0844139956419108,63.168713178175366,99.10961433239156,1.9138107450544165e-06
712.0,2.32136,0.4517725374761564,0.08442185655809283,63.16853736139073,99.10971007461163,1.9150661061187457e-06
720.0,2.3215999999999997,0.451787862921974,0.08442972295509947,63.168361420261974,99.10980589098999,1.9162797421021227e-06
728.0,2.32184,0.45180319791634016,0.08443759465217045,63.16818535893714,99.10990177902302,1.917454103656883e-06
736.0,2.3220799999999997,0.4518185421262034,0.08444547147907147,63.168009181321665,99.10999773635804,1.918591499367677e-06
744.0,2.32232,0.4518338953307336,0.08445335332314632,63.1678328900015,99.11009376144925,1.919693469224092e-06
752.0,2.3225599999999997,0.4518492571820685,0.08446124000649707,63.167656489056895,99.11018985183446,1.9207624206954123e-06
760.0,2.3228,0.45186462747863526,0.0844691314262997,63.1674799808494,99.1102860060975,1.921799759864451e-06
768.0,2.3230399999999998,0.45188000595228606,0.08447702744552589,63.167303368522354,99.11038222234778,1.9228073470609988e-06
776.0,2.32328,0.4518953923506683,0.08448492793523034,63.16712665503429,99.1104784988035,1.923786933547771e-06
784.0,2.32352,0.4519107865066013,0.0844928328101785,63.16694984234526,99.11057483428014,1.924739687480618e-06
792.0,2.32376,0.45192618815631463,0.08450074193551607,63.16677293354731,99.11067122691777,1.9256674364123086e-06
800.0,2.324,0.4519415971474264,0.08450865523356667,63.16659593042601,99.11076767563664,1.926571245824651e-06
808.0,2.3242399999999996,0.45195701327683546,0.08451657260058931,63.16641883536203,99.11086417900154,1.9274525270478028e-06
816.0,2.32448,0.4519724363534179,0.08452449393897365,63.166241650595204,99.11096073566323,1.928312608819809e-06
824.0,2.3247199999999997,0.45198786625079357,0.08453241918434484,63.166064377605096,99.11105734473145,1.9291523770338814e-06
832.0,2.32496,0.4520033027691884,0.08454034823461476,63.165887018733265,99.11115400479459,1.9299732181427e-06
840.0,2.3251999999999997,0.45201874567581657,0.08454828097071665,63.16570957670425,99.11125071421431,1.930776743446093e-06
848.0,2.32544,0.45203419503332176,0.08455621742532785,63.16553205078441,99.11134747343228,1.9315625462554894e-06
856.0,2.3256799999999997,0.45204965069644837,0.0845641575243248,63.16535444267578,99.11144428142359,1.9323316392268966e-06
864.0,2.32592,0.4520651122485666,0.08457210105414412,63.16517675725909,99.11154113525016,1.9330868865784378e-06
872.0,2.32616,0.4520805799115497,0.0845800481292414,63.16499899193514,99.11163803647665,1.9338267937548606e-06
880.0,2.3264,0.452096053314522,0.08458799855952606,63.1648211510431,99.1117349824894,1.934553911754159e-06
888.0,2.32664,0.4521115325031488,0.08459595236890913,63.16464323404869,99.11183197361021,1.9352679480541535e-06
896.0,2.3268799999999996,0.4521270174538751,0.08460390954573584,63.16446524122684,99.11192900967362,1.935969082578821e-06
904.0,2.32712,0.4521425078879394,0.08461186994719719,63.164287175836726,99.11202608871693,1.936659236014764e-06
912.0,2.3273599999999997,0.45215800379454846,0.08461983356817229,63.164109038004526,99.11212321066418,1.9373385002645504e-06
920.0,2.3276,0.4521735051195223,0.08462780038124033,63.16393082836109,99.11222037513588,1.9380072632347066e-06
928.0,2.3278399999999997,0.4521890117822339,0.08463577034538157,63.163752547848134,99.1123175815651,1.9386660928366915e-06
936.0,2.32808,0.452204523698178,0.08464374341757439,63.16357419745316,99.11241482935738,1.939315583067579e-06
944.0,2.3283199999999997,0.4522200407907683,0.08465171955885917,63.16339577807119,99.11251211797423,1.9399562736029263e-06
952.0,2.32856,0.4522355629797201,0.08465969872836707,63.16321729063995,99.11260944685114,1.9405887290535915e-06
960.0,2.3287999999999998,0.4522510902071805,0.08466768089675283,63.16303873583438,99.11270681558143,1.941213360886731e-06
968.0,2.32904,0.4522666224019227,0.08467566602778953,63.16286011448621,99.11280422366431,1.941830671432005e-06
976.0,2.32928,0.45228215947967415,0.0846836540785355,63.16268142757869,99.11290167050794,1.9424412516742353e-06
984.0,2.32952,0.4522977014028856,0.08469164503006388,63.162502675547934,99.11299915585002,1.943045374071405e-06
992.0,2.32976,0.4523132482002791,0.08469963889752033,63.1623238580598,99.1130966798916,1.94364285929551e-06
1000.0,2.3299999999999996,0.45232879968805056,0.0847076355867682,63.162144977255615,99.11319424134372,1.944234975926699e-06
1008.0,2.33024,0.4523443558888313,0.08471563510981053,63.16196603287172,99.11329184036506,1.9448215857445185e-06
1016.0,2.3304799999999997,0.4523599167840828,0.08472363745748014,63.161787025122294,99.11338947682692,1.945402831120423e-06
1024.0,2.33072,0.4523754822586615,0.08473164257092411,63.16160795534423,99.11348714992496,1.9459795123347786e-06
1032.0,2.3309599999999997,0.4523910523738861,0.08473965048203663,63.16142882282558,99.11358486008753,1.9465512273580954e-06
1040.0,2.3312,0.45240662700828377,0.08474766112869911,63.161249628974105,99.11368260646822,1.9471188193531045e-06
1048.0,2.3314399999999997,0.4524222061768111,0.08475567451895667,63.16107037361647,99.11378038917125,1.947682201892028e-06
1056.0,2.33168,0.4524377898609324,0.08476369064362752,63.160891056967074,99.1138782080678,1.9482415166840397e-06
1064.0,2.3319199999999998,0.4524533779687369,0.08477170945578148,63.16071168009001,99.11397606251823,1.9487974049669756e-06
1072.0,2.33216,0.4524689705491711,0.08477973098094399,63.160532242418604,99.11407395286317,1.9493495486573123e-06
1080.0,2.3324,0.4524845675063261,0.08478775517011979,63.160352745059924,99.11417187843686,1.949898616120105e-06
1088.0,2.3326399999999996,0.452500168852011,0.08479578202972571,63.16017318787766,99.1142698393213,1.950444541960904e-06
1096.0,2.33288,0.45251577457257913,0.08480381155308199,63.15999357102852,99.11436783542236,1.950987434178967e-06
1104.0,2.3331199999999996,0.45253138459794956,0.08481184370446843,63.159813895319395,99.11446586625514,1.951527784906864e-06
1112.0,2.33336,0.4525469989654434,0.0848198785034256,63.15963416032058,99.1145639320779,1.9520653548915325e-06
1120.0,2.3335999999999997,0.45256261760342625,0.08482791591342766,63.159454366854284,99.11466203239682,1.9526006467725696e-06
1128.0,2.33384,0.45257824052071827,0.08483595593934681,63.159274514819266,99.11476016727269,1.9531336152097e-06
1136.0,2.3340799999999997,0.4525938677073268,0.08484399857637379,63.15909460432914,99.11485833663731,1.953664343018623e-06
1144.0,2.33432,0.4526094991114119,0.08485204379815972,63.1589146359762,99.11495654013503,1.954193197884387e-06
1152.0,2.3345599999999997,0.45262513476058064,0.08486009161924352,63.158734609445034,99.11505477795524,1.954720006403263e-06
1160.0,2.3348,0.45264077460213464,0.08486814201282993,63.158554525334935,99.11515304973845,1.9552451421190395e-06
