rM,rF,residual,alpha,alpha_imag,SAM,Put
0.0,0.0,5.182160470913337e-12,-0.012142647101406681,0.0,55.986244473981095,102.51997560294929
0.0,0.125,2.3154811401582265e-10,-0.012149963417706062,0.0,55.85754466615589,103.42528750558576
0.0,0.25,2.482956062976882e-10,-0.012157448814448591,0.0,55.726389124267904,104.35112057735999
0.0,0.375,2.658797626509113e-10,-0.012165106244435193,0.0,55.592750694711626,105.29789821642471
0.0,0.5,2.842952540049737e-10,-0.012172938599486385,0.0,55.45660409515359,106.2660420638996
0.0,0.625,3.03522540434642e-10,-0.012180948701280598,0.0,55.317926089704414,107.25597098792625
0.0,0.75,3.235367529441646e-10,-0.01218913929215236,0.0,55.17669566755028,108.2681000101228
0.0,0.875,3.4430414075359295e-10,-0.01219751302545073,0.0,55.0328942241283,109.30283917568244
0.0,1.0,3.657829594772011e-10,-0.012206072455970895,0.0,54.886505743821616,110.3605923696766
0.125,1.0,5.012168458051747e-10,-0.012236190180933531,0.0,53.90388388593562,111.76500604346835
0.125,0.875,5.518474566201803e-10,-0.012227020083645025,0.0,54.061166403747045,110.58939453300628
0.125,0.75,5.254561230572108e-10,-0.012218041961105477,0.0,54.215924519749045,109.43789986516923
0.125,0.625,4.994111790779243e-10,-0.012209253551387368,0.0,54.36816021303828,108.31017441404623
0.125,0.5,4.738023307027106e-10,-0.012200652480499306,0.0,54.517878532484765,107.20586010628375
0.125,0.375,4.4873260662825487e-10,-0.012192236270861445,0.0,54.66508744359919,106.12458962648111
0.125,0.25,4.242606266302573e-10,-0.01218400234973545,0.0,54.809797671846155,105.06598759015752
0.125,0.125,4.0046188587439246e-10,-0.012175948057980066,0.0,54.952022543594936,104.02967168143144
0.125,0.0,3.7739633640399006e-10,-0.01216807065852404,0.0,55.09177782583255,103.015253751473
0.25,0.0,6.141078756627394e-10,-0.012198353675142166,0.0,54.08126481685926,103.5926857553115
0.25,0.125,7.054130612971221e-10,-0.012206915507596552,0.0,53.9293242091486,104.73569673226777
0.25,0.25,7.399698631616047e-10,-0.012215663455482296,0.0,53.774943943394874,105.9019577250879
0.25,0.375,7.748761632342394e-10,-0.012224600009018453,0.0,53.618122191923526,107.09180531549215
0.25,0.5,8.09986744343405e-10,-0.012233727563838158,0.0,53.45886005136098,108.30556597885641
0.25,0.625,8.451639388340482e-10,-0.012243048413742633,0.0,53.29716166894374,109.54355498358457
0.25,0.75,8.80253203661141e-10,-0.012252564742992524,0.0,53.1330343626658,110.80607527772446
0.25,0.875,9.150777913191632e-10,-0.012262278618728768,0.0,52.96648873416369,112.09341636598778
0.25,1.0,9.494689479083718e-10,-0.012272191983691647,0.0,52.797538773222406,113.40585318279324
0.375,1.0,2.822503120114561e-09,-0.012315946453058864,0.0,51.54186408591948,115.34953541668999
0.375,0.875,1.4556400529386337e-09,-0.012305111779838096,0.0,51.72332136308661,113.87613657799245
0.375,0.75,1.4232970357852537e-09,-0.01229448561988784,0.0,51.90256921691676,112.42859712259366
0.375,0.625,1.3889946970380151e-09,-0.012284066388481158,0.0,52.079576135615966,111.00673214563346
0.375,0.5,1.3529195541650552e-09,-0.012273852365159304,0.0,52.254314061426314,109.61033860229777
0.375,0.375,1.3152945399497185e-09,-0.012263841699500408,0.0,52.42675835210335,108.23919625496839
0.375,0.25,1.2763248236069558e-09,-0.0122540324175562,0.0,52.596887730586914,106.89306863810185
0.375,0.125,1.2361964785156943e-09,-0.012244422429164042,0.0,52.764684223608754,105.57170403979198
0.375,0.0,1.1951231115858718e-09,-0.012235009533376884,0.0,52.93013309004493,104.27483649468117
0.5,0.0,3.943597448596847e-09,-0.012280239036247908,0.0,51.60626598011131,105.09342739178267
0.5,0.125,2.4225212946760166e-09,-0.01229073481146919,0.0,51.42573870695012,106.57773024210687
0.5,0.25,2.4648043606134706e-09,-0.012301440835385887,0.0,51.24304469458132,108.08752795390375
0.5,0.375,2.5032198536223405e-09,-0.012312358960633114,0.0,51.058217587683224,109.62299581747565
0.5,0.5,2.5375568313279473e-09,-0.012323490914171243,0.0,50.87129427081952,111.18429135823281
0.5,0.625,2.567629664440574e-09,-0.012334838290959181,0.0,50.682314867940185,112.77155355548302
0.5,0.75,2.5932775926662543e-09,-0.012346402549049498,0.0,50.49132272974645,114.38490210210195
0.5,0.875,2.614363836528355e-09,-0.01235818500363219,0.0,50.29836440870458,116.02443670140404
0.5,1.0,2.630755169263921e-09,-0.012370186821540965,0.0,50.10348962155371,117.69023640500909
0.625,1.0,3.1278375445253914e-09,-0.012439062780170576,0.0,48.438032673638425,120.56629671600514
0.625,0.875,8.039169330231744e-11,-0.012425542736179908,0.0,48.64731065048057,118.66596399516492
0.625,0.75,8.150369268378199e-11,-0.01241225506270212,0.0,48.85509455001081,116.79171691378002
