policy,rho,MATII_Vmax_cap,SAM,met,Put,Spd,Spm,G_Met,G_AA,alpha,residual,solver_ok
constant-total,0.0,480.0,65.06138248397946,50.60069244747123,98.20362967232711,79.59175253092295,61.35951148733721,1.7792314496694117,1.3427157424665894,-0.015875918996514093,1.2320427147782235e-11,True
constant-total,0.05,480.0,67.78131662832106,47.747118016025716,97.0393742553219,80.02171484765906,61.91843130630952,1.7763922246123045,1.3357986864994902,-0.015367221538360913,2.8752282332789036e-08,True
constant-total,0.1,480.0,70.58683814724641,44.9360936069985,95.7760904195705,80.29202184054841,62.377674931798715,1.7729579333802505,1.3288568020591596,-0.014899076068262091,4.514163265412208e-09,True
constant-total,0.15000000000000002,480.0,73.46611005679868,42.17830923715296,94.43028792506088,80.40788374091136,62.73856161946433,1.7692048596890633,1.3221194615675278,-0.014470660035477308,2.053937464552291e-09,True
constant-total,0.2,480.0,76.40474743091788,39.484704346573466,93.01696600753361,80.37485002116809,63.00260233805882,1.7654785225979712,1.3158626518751617,-0.014080687959443849,7.011635716480669e-10,True
constant-total,0.25,480.0,79.38585608134488,36.86623485835421,91.54968227740594,80.19888227658103,63.171584583993145,1.7621951112796885,1.310409320928959,-0.013727486515709833,3.687858907142072e-10,True
constant-total,0.30000000000000004,480.0,82.39021232962664,34.33360623033891,90.04060340371858,79.88639439285078,63.24763820819741,1.759834829080558,1.3061236910206162,-0.01340908239695864,1.7116263961725053e-10,True
constant-total,0.35000000000000003,480.0,85.39660552929647,31.89698115495845,88.50054160954134,79.44425854555116,63.23328021693063,1.7589255648029054,1.3033984651795012,-0.013123294057769477,1.3672263321495848e-10,True
constant-total,0.4,480.0,88.38235492536204,29.565673597462645,86.9389798301662,78.8797756877916,63.131436268278215,1.7600164656007482,1.3026347377502043,-0.012867820057057828,1.3778134189124103e-10,True
constant-total,0.45,480.0,91.32399677460212,27.347844056586496,85.36408790071222,78.2006097503138,62.945436626326455,1.7636427089473083,1.304215706585768,-0.012640318567654999,1.332907118012372e-10,True
constant-total,0.5,480.0,94.19811650345017,25.25021428307249,83.78273247311847,77.41468598934622,62.67898477276674,1.7702848206153918,1.3084767847340644,-0.012438474635912631,1.2571632623803453e-10,True
constant-total,0.55,480.0,96.98227601079881,23.277822655985304,82.20048445489293,76.53005596159468,62.33609788688403,1.7803278060895462,1.3156760824350986,-0.012260053676038603,1.1666401178445085e-10,True
constant-total,0.6000000000000001,480.0,99.65596242525334,21.433842835868088,80.62162920592039,75.55473449592562,61.92102013031425,1.7940265387121999,1.3259700240680352,-0.012102941238706876,1.0722089882619912e-10,True
constant-total,0.65,480.0,102.20146812913026,19.719486658171814,79.04918579410244,74.49651740778127,61.438112058433575,1.8114836855227539,1.3393986542682224,-0.011965170170888882,9.78772618509538e-11,True
constant-total,0.7000000000000001,480.0,104.60460933311202,18.134006301498093,77.48494147623309,73.36279177126379,60.89172215248011,1.8326446634013163,1.3558837825711836,-0.011844936885200868,8.906653192752856e-11,True
constant-total,0.75,480.0,106.85520592741584,16.674800557070146,75.92950571066022,72.16035228312076,60.28604874982596,1.8573109733830804,1.3752407409277534,-0.01174060865979339,8.100897730400902e-11,True
constant-total,0.8,480.0,108.94727748536097,15.337617208421236,74.38238451632444,70.89523674446033,59.6250017754424,1.8851696129148618,1.397201831217387,-0.011650723844356099,7.360512199738878e-11,True
constant-total,0.8500000000000001,480.0,110.87895209071816,14.116831106052246,72.84207163409462,69.57259067373988,58.91207310842035,1.9158332508949036,1.421447361495983,-0.01157398666857741,6.681233344352222e-11,True
constant-total,0.9,480.0,112.65212554402768,13.005768696689229,71.30614885758115,68.1965660679162,58.15022210727679,1.9488843860166836,1.4476391712987842,-0.011509258142453672,6.042455424903892e-11,True
constant-total,0.9500000000000001,480.0,114.27193854815994,11.997046628567565,69.77138508634204,66.77025346701855,57.3417792401194,1.9839170870794172,1.4754519163247193,-0.011455544336961462,1.7475798586019664e-09,True
constant-total,1.0,480.0,115.74615306889187,11.082894805626825,68.23382257196262,65.29564102157815,56.48836670320608,2.0205717384428374,1.5045988032624322,-0.011411983147535361,1.566050400469976e-09,True
