policy,rho,MATII_Vmax_cap,G_Met,G_AA,alpha,residual,x_b_gly,x_b_glu,x_b_cys,x_b_gsg,x_b_gsh,x_c_thf,x_c_5mf,x_c_2cf,x_c_1cf,x_c_10f,x_c_dhf,x_aic,x_c_glu,x_c_cys,x_glc,x_c_gly,x_c_gsg,x_c_gsh,x_cyt,x_hcy,x_c_ser,x_sah,x_sam,x_met,x_c_coo,x_species_1,x_species_2,x_species_3,x_species_4,x_species_5,x_species_6,x_species_8,x_species_9,x_m_thf,x_m_2cf,x_m_1cf,x_m_10f,x_m_ser,x_m_gly,x_m_coo,x_src,x_dmg,x_parameter_1,x_parameter_2,x_parameter_3,x_parameter_4
constant-total,0.0,480.0,1.7792314496694117,1.3427157424665894,-0.015875918996514093,1.2320427147782235e-11,218.73317150152943,60.465161622517535,183.0994663813897,0.47263292278399066,12.547065582222855,4.025093302058317,5.360798592550144,0.46396265569485134,0.2594976768036633,3.2553950531951203,0.03525271969790244,0.944676738309725,3236.782294082109,179.792196768023,9.607066151496502,927.5601310006062,59.80626824136652,6272.5149272058525,32.30475815900682,1.0242519486339277,571.2252858005434,15.562669321159415,65.06138248397946,50.60069244747123,13.97581106521721,0.011178638638758188,98.20362967232711,61.35951148733721,79.59175253092295,0.02727425378255086,0.9037514421351917,38.83339076281266,160.66660923718734,20.989363966569115,1.667296818685361,1.5502213120093644,15.993117902736174,2150.0578251144093,2043.4702842089748,58.37100737016889,8.254110230233993,0.6775594631604028,72.25571789959064,42.28537920547802,21.13401399239454,0.5849783133222257
constant-total,0.05,480.0,1.7763922246123045,1.3357986864994902,-0.015367221538360913,2.8752282332789036e-08,220.17789971785672,60.348466751065175,184.6285036685907,0.49393676827210864,12.623313678698617,4.10946412204471,5.24167902776472,0.47062099503571586,0.2625426992193968,3.279915952952225,0.03577720173581657,0.9443645074883938,3219.4857854326774,181.3967425357361,9.74036133667995,925.2694452110944,62.53127881515927,6424.760744373264,33.35399864874536,1.0428789498937825,569.1563856989255,16.088255504274912,67.78131662832106,47.747118016025716,13.834762767468405,0.011347542114553393,97.0393742553219,61.91843130630952,80.02171484765906,0.027738648986728558,0.9152251138672969,38.74819913107756,160.7518008688664,20.999952083420382,1.6674171888459772,1.5502554151294201,15.98237531260495,2138.066890470695,2039.206470316027,57.96663913952125,8.340291150279178,0.6755024896020421,71.40473797931023,42.58204384620059,20.945674180102905,0.5866746317638474
constant-total,0.1,480.0,1.7729579333802505,1.3288568020591596,-0.014899076068262091,4.514163265412208e-09,221.54611785900406,60.22088716801154,186.0950748277987,0.5158055913875699,12.694165309474599,4.192341425164008,5.124808672696864,0.4771650747197242,0.265521118203272,3.303870494521312,0.03629321451592432,0.944061292410817,3201.888104560909,182.9593367397335,9.870759172058943,922.9413914498797,65.33119181914626,6578.253006679517,34.40070139539439,1.0614869825514621,567.0999438757627,16.631830681853547,70.58683814724641,44.9360936069985,13.7020830246464,0.011486967100118286,95.7760904195705,62.377674931798715,80.29202184054841,0.02810619392488117,0.9232088458757737,38.68905052341443,160.8109494765797,21.010044844499593,1.6675241887941488,1.5502836035176555,15.972147363188629,2126.1192428945183,2034.8685127565143,57.586347147922396,8.423873558185077,0.6731913767768845,70.4784013939026,42.8009090317048,20.71773338328848,0.5879172334655381
constant-total,0.15000000000000002,480.0,1.7692048596890633,1.3221194615675278,-0.014470660035477308,2.053937464552291e-09,222.8381695408207,60.083018231989335,187.49960721371787,0.538218630268903,12.759698076190634,4.273161641011329,5.010949036359812,0.4835549349902071,0.26841571349313464,3.3271210984651383,0.03679757558249644,0.9437686781045354,3184.022197317961,184.46676034481877,9.998157581642099,920.5825886968313,68.20355358079995,6732.182770598682,35.44043922087819,1.0799795613895864,565.0639709453457,17.19081026382362,73.46611005679868,42.17830923715296,13.577930184724595,0.011596850636392604,94.43028792506088,62.73856161946433,80.40788374091136,0.02837690289874402,0.927764745394117,38.655164290564755,160.8448357094334,21.01964164633378,1.6676147127471457,1.550304151677316,15.962439489241724,2114.24943001535,2030.4675679495904,57.230543072145345,8.50394350486284,0.6705993403161222,69.4889999260871,42.943933608112545,20.454963502186903,0.5887252233862652
constant-total,0.2,480.0,1.7654785225979712,1.3158626518751617,-0.014080687959443849,7.011635716480669e-10,224.05558179587794,59.93556173373326,188.8432323570233,0.5611519175885915,12.820043137765094,4.351376296794491,4.900838758068593,0.48975158315612677,0.27121000048065974,3.349536194448934,0.03728716698602757,0.9434881420286169,3165.923529554495,185.90562782169002,10.122497550332943,918.2005217663991,71.14549396437336,6885.694502297332,36.468601715512484,1.0982522203478213,563.0565518315389,17.76196132277388,76.40474743091788,39.484704346573466,13.462382916144865,0.011677305978611505,93.01696600753361,63.00260233805882,80.37485002116809,0.02855153675654514,0.9289812034118671,38.64570665947321,160.85429334052648,21.028747865829697,1.6676857797680806,1.5503153851091782,15.953250969292993,2102.492983761391,2026.0164356507055,56.89941132026231,8.579605994579213,0.6677039810961661,68.44771894372496,43.01323570776769,20.161809294202918,0.5891155937798063
constant-total,0.25,480.0,1.7621951112796885,1.310409320928959,-0.013727486515709833,3.687858907142072e-10,225.20094004262955,59.77930321131499,190.12770799166356,0.5845789551289013,12.87537847024262,4.426463063472786,4.795178807185275,0.49571779129471755,0.27388855110551497,3.3709927873378236,0.037758999573487925,0.9432210279567699,3147.629179577443,187.26262791893026,10.243760925280402,915.8032905223249,74.15381029807088,7037.907896307494,37.480479425725235,1.116194884628193,561.0857036781392,18.34140755731809,79.38585608134488,36.86623485835421,13.355447557078579,0.01172864292648209,91.54968227740594,63.171584583993145,80.19888227658103,0.028631644311286748,0.926972888488346,38.65977823602791,160.84022176397235,21.037373239056492,1.6677346840783809,1.55031576888153,15.944576307983551,2090.885842586005,2021.5291450722602,56.59293157245027,8.650013816941001,0.6644886024041371,67.36468787930802,43.0111400581716,19.842396811249657,0.5891038001036898
constant-total,0.30000000000000004,480.0,1.759834829080558,1.3061236910206162,-0.01340908239695864,1.7116263961725053e-10,226.27772112879165,59.61508659885105,191.3553213550037,0.6084714547143871,12.92592077858373,4.497936760953923,4.694617746915306,0.5014189074099183,0.2764373093589792,3.391378996507517,0.0382102788394281,0.9429685211951297,3129.176864904758,188.52480500604898,10.361966949298896,913.3993185731131,77.22506029556497,7187.941185902067,38.4713656275451,1.1336947634643015,559.159214288847,18.924672498120675,82.39021232962664,34.33360623033891,13.257065232059897,0.011751381867506632,90.04060340371858,63.24763820819741,79.88639439285078,0.028619581044202588,0.9218799590225747,38.69640609086556,160.80359390913475,21.045530257128632,1.667759138644418,1.5503039923888302,15.93640661183808,2079.463639157789,2017.0204652601935,56.31090051226522,8.714396192557478,0.6609432979739861,66.24901727247355,42.9402097803137,19.500538235272867,0.5887042265116087
constant-total,0.35000000000000003,480.0,1.7589255648029054,1.3033984651795012,-0.013123294057769477,1.3672263321495848e-10,227.29009899305814,59.443787965453474,192.52878184497396,0.6328000985034459,12.9719167012117,4.565359976507858,4.599737535618609,0.5068236511060382,0.2788438906297719,3.4105964761564995,0.038638469974618755,0.942731625970032,3110.603963187281,189.6798715829401,10.47716794283736,910.9970403430762,80.35565800441397,7334.934505458936,39.43667285721818,1.1506396676827495,557.2844658387575,19.506766556115625,85.39660552929647,31.89698115495845,13.167118463833084,0.011746260341042368,88.50054160954134,63.23328021693063,79.44425854555116,0.028518501298264567,0.9138664174687826,38.75454082708939,160.745459172911,21.053232712530235,1.667757399525081,1.5502790429409017,15.928730845003761,2068.260875571876,2012.5053704002353,56.05295188957631,8.772085356487047,0.6570657025972358,65.1088251829625,42.80326162874372,19.139733689803602,0.5879305496918117
constant-total,0.4,480.0,1.7600164656007482,1.3026347377502043,-0.012867820057057828,1.3778134189124103e-10,228.24273874148673,59.266290001636406,193.65111118505587,0.6575352758404638,13.013633938799153,4.628352972618677,4.511040319510546,0.5119048647474116,0.2810978547959974,3.4285626286170725,0.039041359708030784,0.9425111457155791,3091.946581707681,190.71653940574396,10.589444575187574,908.6045872236826,83.54196733902627,7478.071958794936,40.372059892975294,1.166921617560089,555.4682500340327,20.082320442948806,88.38235492536204,29.565673597462645,13.085437045748638,0.011714231080820477,86.9389798301662,63.131436268278215,78.8797756877916,0.02833232107384971,0.9031175664386866,38.833059025140415,160.66694097485984,21.060494517833654,1.6677283596355266,1.550240261511847,15.921536861018957,2057.3100180695815,2007.998494268683,55.818574175392875,8.822539298884736,0.6528613211037723,63.95125495636746,42.60336358682016,18.763170410703687,0.5867960034093275
constant-total,0.45,480.0,1.7636427089473083,1.304215706585768,-0.012640318567654999,1.332907118012372e-10,229.1405941080626,59.083458642908795,194.7255382369632,0.6826477623984034,13.051352850991757,4.68660254679149,4.428936688396668,0.5166401893391668,0.28319094270240086,3.4452125203962445,0.03941711237381263,0.9423076669912723,3073.238720426525,191.62485331937944,10.698901118454184,906.2294933431934,86.78038879805982,7616.601257222691,41.27356335747914,1.182440566822585,553.7165826842026,20.64576301655117,91.32399677460212,27.347844056586496,13.011803052301905,0.011656450748357841,85.36408790071222,62.945436626326455,78.2006097503138,0.028065649785748735,0.8898365719254211,38.930771384254584,160.56922861574566,21.067328888392314,1.6676716031408056,1.5501873754929774,15.914812132973895,2046.6405542840268,2003.5136084306002,55.607125409491246,8.865359127980021,0.6483433870584725,62.782486013264425,42.343813912991344,18.373719610207402,0.5853135413059457
