policy,rho,MATII_Vmax_cap,SAM,met,Put,Spd,Spm,G_Met,G_AA,alpha,residual,solver_ok
flux-matched,0.0,261.9019248346911,65.06138248397946,50.60069244747123,98.20362967232711,79.59175253092295,61.35951148733721,1.7792314496694117,1.3427157424665894,-0.015875918996514093,1.2320427147782235e-11,True
flux-matched,0.05,261.9019248346911,64.5629904751797,50.43598367405882,98.42688400094012,79.51022820249341,61.253803065614285,1.7592952359701284,1.3275522985531358,-0.015486157366949305,1.1038991942768916e-09,True
flux-matched,0.1,261.9019248346911,64.09276065369922,50.25255825042742,98.67021832788448,79.46059875575533,61.16958368011803,1.7386521906341519,1.311761790915426,-0.01512321524829427,1.0210357004325488e-09,True
flux-matched,0.15000000000000002,261.9019248346911,63.651596126740934,50.0492762776726,98.93079936370108,79.44104902697725,61.10596483177938,1.7171594884401997,1.2952379362355884,-0.014785792130052365,9.392522315465612e-10,True
flux-matched,0.2,261.9019248346911,63.24059836849099,49.8248934006907,99.20536770735687,79.44954890553184,61.06195558099223,1.6946705923882674,1.2778717510976563,-0.01447259302019227,8.433431730736629e-10,True
flux-matched,0.25,261.9019248346911,62.861077574034354,49.578055021717894,99.4902042816017,79.48383167902443,61.036452125152245,1.6710350134755154,1.2595514133745205,-0.014182339993489505,8.133227424877987e-10,True
flux-matched,0.30000000000000004,261.9019248346911,62.51456520892249,49.30728998872467,99.78109624445338,79.54137117137502,61.028226780702944,1.6460981971176076,1.2401622260115686,-0.013913782005124676,7.818883318577718e-10,True
flux-matched,0.35000000000000003,261.9019248346911,62.20282889829748,49.0110038444507,100.07330275371662,79.61935747326359,61.03591619914491,1.619701575563464,1.2195867143466592,-0.013665702768298139,7.398313073281315e-10,True
flux-matched,0.4,261.9019248346911,61.92788979823102,48.68747177559408,100.36152109449874,79.71467104696858,61.0580086176202,1.5916828434748644,1.1977049019661137,-0.013436926731835195,6.829452559031779e-10,True
flux-matched,0.45,261.9019248346911,61.69204257083943,48.334831477685206,100.63985386022338,79.8238549817771,61.09282991703415,1.5618765378271373,1.174394828787087,-0.01322632331767207,6.096882998463116e-10,True
flux-matched,0.5,261.9019248346911,61.49787803390073,47.95107625700717,100.90177812063658,79.9430851898516,61.13852823708845,1.5301150352873631,1.149533399987611,-0.013032809650161275,5.257732027530437e-10,True
flux-matched,0.55,261.9019248346911,61.34830846099922,47.53404883632337,101.1401178342032,80.0681383769904,61.19305688232637,1.4962301224765224,1.1229976872612903,-0.012855352053563106,4.511448992161604e-10,True
flux-matched,0.6000000000000001,261.9019248346911,61.246595349751516,47.08143652854341,101.34702118909178,80.19435771383131,61.254155252614275,1.4600553495992932,1.0946668465783413,-0.012692966624445261,4.1301007058791583e-10,True
flux-matched,0.65,261.9019248346911,61.19637922585132,46.59076870716443,101.51394511187299,80.3166162922591,61.319327554520115,1.421429448582318,1.0644248712130193,-0.012544719205688842,4.1664804939500755e-10,True
flux-matched,0.7000000000000001,261.9019248346911,61.201710672028184,46.05941785269314,101.63164989305481,80.42927870811083,61.385819109900474,1.3802011856056255,1.0321644670372876,-0.012409725105465372,4.3799275317724096e-10,True
flux-matched,0.75,261.9019248346911,61.26708121381172,45.48460591088685,101.69020776915777,80.5261615029449,61.450590193121215,1.3362361261537476,0.997792419859729,-0.012287148917950163,4.5784531721437816e-10,True
flux-matched,0.8,261.9019248346911,61.397451894315694,44.863418282401945,101.6790303899451,80.60049377340644,61.51028752410049,1.289425917154141,0.9612369206096182,-0.01217620480924039,4.646523166229599e-10,True
flux-matched,0.8500000000000001,261.9019248346911,61.59827624983303,44.192828490991836,101.58692138559927,80.6448800759341,61.56121385467992,1.239700828599561,0.9224574177727706,-0.012076157628751747,4.369908879198192e-10,True
flux-matched,0.9,261.9019248346911,61.875512868079355,43.4697374528027,101.40216169377696,80.65126888428794,61.599296553955796,1.1870464293064698,0.8814576640715728,-0.011986325194808866,3.4091840461769607e-10,True
flux-matched,0.9500000000000001,261.9019248346911,62.23562068428143,42.691032269003735,101.11263680638743,80.61093136364153,61.62005677585752,1.1315253638588134,0.8383026888637707,-0.01190608205064883,1.8258106138091534e-10,True
flux-matched,1.0,261.9019248346911,62.685527588972725,41.85367051231278,100.70601643842373,80.51445715329007,61.618581734477964,1.073305188451689,0.7931404106942846,-0.011834864899663757,6.70567601446237e-10,True
