policy,rho,s,mu,b_met,SAM,met,tlogmu,alpha,residual,ds
constant-total,1.0,0.0,1.0,30.0,115.74615306889187,11.082894805626825,0.1780759735796542,-0.011411983147530119,1.566050400469976e-09,0.0
constant-total,1.0,0.050000355768411456,1.0089351569699214,30.268054709097644,117.84873721349554,11.30188018861198,0.17773813928919116,-0.011406691664732823,2.0763479824381648e-10,0.05
constant-total,1.0,0.10900093444338298,1.0195589500751092,30.58676850225328,120.38252046069424,11.566036371248323,0.17732843966680037,-0.011400708707176185,4.986839559816619e-12,0.059
constant-total,1.0,0.17862187451154649,1.032206486178669,30.96619458536007,123.4475664633415,11.885877627332551,0.17683113961900612,-0.01139398764796549,2.6694258820194846e-11,0.06961999999999999
constant-total,1.0,0.2607749997611406,1.047285285634892,31.41855856904676,127.17195552994902,12.274825968376783,0.17622761756424454,-0.011386490785200437,1.1733740140744986e-11,0.08215159999999998
constant-total,1.0,0.3577163595610762,1.0652930990830398,31.958792972491196,131.7215867325489,12.750183139804344,0.17549650723295826,-0.011378191448354938,1.2027083644263612e-11,0.09693888799999997
constant-total,1.0,0.4721082492474133,1.0868409704744297,32.60522911423289,137.31420621670802,13.334484825338254,0.1746145231573855,-0.011369074408235758,8.506961602040115e-12,0.11438788783999997
constant-total,1.0,0.607092431832942,1.1126835496980132,33.3805064909404,144.23982371499403,14.057406280578562,0.17355850917517787,-0.011359133277288984,1.318767317570746e-11,0.13497770765119996
constant-total,1.0,0.7663766026252548,1.1437597556409052,34.31279266922716,152.890944344983,14.958470105899854,0.17230945418231244,-0.011348363524895403,1.5660361896152608e-11,0.15927369502841593
constant-total,1.0,0.9543365252806721,1.1812488011494005,35.43746403448201,163.80812581396145,16.09093048208538,0.17085926823859832,-0.011336750212072306,5.937295100011397e-11,0.1879429601335308
constant-total,1.0,1.176136743193697,1.2266499257330419,36.799497771991255,177.74983209826578,17.52739793680138,0.16922056162705076,-0.011324250903923624,1.9333867840032326e-10,0.22177269295756633
constant-total,1.0,1.4261758514105403,1.279390519231153,38.38171557693459,194.95542276669858,19.282330748991466,0.1675131819240475,-0.011311354549818057,5.763922672485933e-10,0.25
constant-total,1.0,1.676214908765124,1.333858704215496,40.01576112646488,213.87772872680023,21.187372210037175,0.1659868245157544,-0.011299408547252775,8.131095796670706e-10,0.25
constant-total,1.0,1.926254236007613,1.3901484857525765,41.7044545725773,234.6675496321215,23.249163391555033,0.1646515328584325,-0.01128817955468087,1.0846719078472233e-09,0.25
constant-total,1.0,2.176294169023688,1.4483631310299834,43.450893930899504,257.481112260591,25.474331423660335,0.1634936103937943,-0.011277505685001974,1.377266301005875e-09,0.25
