policy,rho,s,mu,b_met,SAM,met,tlogmu,alpha,residual,ds
flux-matched,1.0,0.0,1.0,30.0,62.685527588972725,41.85367051231278,0.28082493721867113,-0.011834864899657753,6.705533905915217e-10,0.0
flux-matched,1.0,0.050000490961775196,1.014214406798255,30.426432203947652,63.63694867891802,42.92443146384552,0.28375186413930814,-0.011813166579803726,1.539319782750681e-10,0.05
flux-matched,1.0,0.10900129073312984,1.0314441895609254,30.943325686827762,64.77694415321137,44.232670981157284,0.28729119357334676,-0.011788613592157956,4.2604142436175607e-10,0.059
flux-matched,1.0,0.1786225908748415,1.0524391595827134,31.573174787481403,66.1464062664111,45.841130747665474,0.2915882878784861,-0.011761055396976772,9.680335616114615e-12,0.06961999999999999
flux-matched,1.0,0.2607762991032519,1.0781857431517923,32.34557229455377,67.79640385286568,47.833403139293104,0.2968294440950793,-0.011730425512631414,7.364122774455795e-12,0.08215159999999998
flux-matched,1.0,0.357718595271776,1.1100052923691766,33.300158771075296,69.79116843526968,50.32267305929619,0.30325565113149705,-0.011696780764477815,2.9334350351862466e-12,0.09693888799999997
flux-matched,1.0,0.4721119732230127,1.1497051841831842,34.49115552549553,72.21209548010495,53.46492103310068,0.31118163632416274,-0.011660345804438654,1.4373831672412609e-11,0.11438788783999997
flux-matched,1.0,0.6070984902640727,1.1998181141403215,35.994543424209645,75.163140345516,57.479248842034856,0.32102232465988934,-0.0116215577000109,7.275957614183426e-12,0.13497770765119996
flux-matched,1.0,0.7663862669789305,1.2639939800463658,37.919819401390974,78.77813281511956,62.67977590339016,0.3333295198436465,-0.011581100793194637,1.56035184772918e-11,0.15927369502841593
flux-matched,1.0,0.9543516744909862,1.347666342087699,40.42999026263097,83.23072238933237,69.5266250895373,0.3488421894523837,-0.01153991648844376,5.1301185521879233e-11,0.1879429601335308
flux-matched,1.0,1.1761601548371856,1.4592354239715395,43.77706271914619,88.74788430563517,78.70875224355474,0.36855366070630613,-0.011499168308770378,1.042934627548675e-10,0.22177269295756633
flux-matched,1.0,1.4262102133131325,1.6048722415173693,48.14616724552108,95.31193699135278,90.67451120638673,0.3926230178143775,-0.011461706275519621,1.7507773009128869e-10,0.25
flux-matched,1.0,1.6762598464590748,1.7761352858560875,53.28405857568262,102.24289646863039,104.57648347225273,0.4186532476810688,-0.011431508235973841,2.1316282072803006e-10,0.25
flux-matched,1.0,1.9263100879286295,1.9789932446710727,59.36979734013218,109.54029917102835,120.65710425044072,0.4466224203153276,-0.011407083846001437,1.9542767404345796e-10,0.25
flux-matched,1.0,2.1763620613983257,2.2210284116218926,66.63085234865677,117.20009010900772,139.15807208851567,0.4764904028347579,-0.011387222326798375,8.901679393602535e-11,0.25
flux-matched,1.0,2.4264169865685696,2.51194116914533,75.3582350743599,125.21326137387305,160.30657886853405,0.5082083615683272,-0.0113709584286253,1.2819612038583728e-10,0.25
flux-matched,1.0,2.6764762149897976,2.864237825508567,85.92713476525701,133.5640305133354,184.29633492925285,0.5417261659627601,-0.0113575351614645,2.639239937707316e-10,0.25
flux-matched,1.0,2.9265412828418476,3.2941724018357412,98.82517205507224,142.2274452288807,211.2625773677238,0.5769916507777326,-0.011346367404784171,3.46261685990612e-10,0.25
flux-matched,1.0,3.176613956060446,3.8230358641307136,114.6910759239214,151.16632491021338,241.250718517361,0.6139348597401862,-0.011337008774024208,3.404778681215248e-10,0.25
flux-matched,1.0,3.426696226472651,4.478911312852437,134.36733938557313,160.3275571695815,274.179406362524,0.6524309183805572,-0.011329122762012702,2.7469582164485473e-10,0.25
flux-matched,1.0,3.6767901939590373,5.299035173222506,158.97105519667517,169.63801861363302,309.8009141199502,0.6922382731164932,-0.01132245821362129,2.0297363789723022e-10,0.25
flux-matched,1.0,3.926897745025319,6.332911802179763,189.98735406539288,179.0008447301738,347.6652595218993,0.7329169211952489,-0.011316828608730312,1.545856775919674e-10,0.25
flux-matched,1.0,4.177019940227998,7.646308412163714,229.3892523649114,188.29343617195823,387.0990455100849,0.7737464233114881,-0.011312094392783394,1.3559997569245752e-10,0.25
flux-matched,1.0,4.427156112638193,9.326203804115075,279.78611412345225,197.36926855593248,427.2141036211518,0.8136847580134566,-0.011308147703681123,1.574136376802926e-10,0.25
flux-matched,1.0,4.677302920976235,11.486707668762637,344.6012300628791,206.0657318451627,466.96083940699083,0.8514241630967546,-0.01130489929994672,1.3493801161856735e-11,0.25
flux-matched,1.0,4.927453933991087,14.275994952307252,428.27984856921756,214.2190468472444,505.2317236859725,0.8855828434336973,-0.011302268178552262,8.21361809852149e-12,0.25
flux-matched,1.0,5.177600413808397,17.884526326330366,536.535789789911,221.68438828198956,541.0001532833234,0.9150025070690923,-0.01130017485492521,6.746900580928367e-12,0.25
