policy,rho,s,mu,b_met,SAM,met,tlogmu,alpha,residual,ds
published,1.0,0.0,1.0,30.0,41.33945162481948,61.180140701396304,0.3475026488503913,-0.012826097978553113,2.090729367409949e-09,0.0
published,1.0,0.05000067201528469,1.0176534612920318,30.529603838760956,41.87260390338918,62.8387010730864,0.3524849588121709,-0.01278087392648462,4.18651779909851e-11,0.05
published,1.0,0.10900179671025353,1.0392239060233037,31.17671718069911,42.508255321772054,64.87267500575818,0.3585363558403091,-0.01272904501831163,1.3062617654213682e-10,0.059
published,1.0,0.1786236847988646,1.065763956653193,31.972918699595787,43.267138920412656,67.38469810732295,0.3659191421148144,-0.012670001677997728,4.0384406929661054e-10,0.06961999999999999
published,1.0,0.26077846553865314,1.0986954998177048,32.96086499453114,44.174388602015334,70.51311931616391,0.3749708643262064,-0.012603232738783544,1.4373831672412609e-11,0.08215159999999998
published,1.0,0.3577227330837148,1.1399816690703275,34.199450072109826,45.260402447265186,74.44774530736066,0.3861283336493816,-0.012528408979793456,1.3493801161856735e-11,0.09693888799999997
published,1.0,0.47211975919683946,1.1924017522491843,35.77205256747553,46.56172378531199,79.45399805074342,0.3999587356261409,-0.01244549472214334,6.73594513500575e-12,0.11438788783999997
published,1.0,0.6071130641618587,1.260005308694223,37.80015926082669,48.12174584085727,85.91065033559234,0.41719824494070273,-0.012354887925912836,2.9615421226480976e-11,0.13497770765119996
published,1.0,0.7664135146536302,1.3488901932359083,40.466705797077246,49.990816122587205,94.36970236268388,0.43879599790084134,-0.01225758122222871,1.3716316971112974e-10,0.15927369502841593
published,1.0,0.9544026018068366,1.468590903469992,44.05772710409976,52.22489277533834,105.65241211786719,0.4659550650969328,-0.01215532136816678,6.747882252966519e-10,0.1879429601335308
published,1.0,1.176255187351852,1.6346721188141558,49.040163564424674,54.881185347859486,121.00335755064043,0.5001493638727783,-0.012050721373314728,2.7539215352589963e-09,0.22177269295756633
published,1.0,1.3981121325865806,1.8338207199717251,55.01462159915175,57.53291745287082,138.833121383148,0.5363617346775899,-0.011961765166512447,2.1503296920855064e-09,0.22177269295756633
published,1.0,1.6199731837854061,2.0742243382920473,62.22673014876142,60.1512723329064,159.42152919196258,0.5742003794060634,-0.011886596328216703,7.228777576528955e-10,0.22177269295756633
published,1.0,1.870105534682668,2.4078275997078245,72.23482799123474,63.02685729886444,186.2480258688679,0.6182502117360776,-0.01181615154019481,2.0303048131609103e-09,0.25
published,1.0,2.1202437612768854,2.8263972627821254,84.79191788346377,65.7826642742846,217.14370747866943,0.6630991977587163,-0.011758585403915119,3.969489625887945e-09,0.25
published,1.0,2.3703876576194416,3.3552600870757088,100.65780261227127,68.38199931115776,252.185636608655,0.7080019800438084,-0.011711771309274603,3.799073056143243e-09,0.25
published,1.0,2.6205370141059756,4.0277932873400095,120.83379862020028,70.79359351253262,291.20025805092007,0.7521498950139076,-0.011673860166164611,2.758909545264032e-09,0.25
published,1.0,2.8706911686757244,4.887941588645175,146.63824765935524,72.99300417092674,333.69365942320707,0.7946400914222449,-0.011643279546139543,1.750436240399722e-09,0.25
published,1.0,3.120848319106085,5.993328956154553,179.79986868463658,74.96364748075209,378.81230212040884,0.834468033333305,-0.011618712681877414,1.4667175175931232e-11,0.25
published,1.0,3.371004888545116,7.419004719707445,222.57014159122335,76.69749504593025,425.3633227476473,0.8705906405733032,-0.011599065770926098,6.273141622684565e-12,0.25
published,1.0,3.621155444930563,9.261914299045305,277.8574289713591,78.19534690920109,471.91570285406664,0.9020802532320433,-0.01158343152240997,1.5840549190005733e-11,0.25
published,1.0,3.871293575294245,11.64634150129438,349.3902450388314,79.46646121894649,516.9766151788266,0.92832705113676,-0.011571055347783842,1.4667175175931232e-11,0.25
published,1.0,4.121413546491204,14.730811485311385,441.92434455934153,80.5273396653528,559.2000887182486,0.9491920521450753,-0.011561308058543064,3.2267785387048714e-12,0.25
published,1.0,4.3715119210261415,18.717167440087326,561.5150232026198,81.39971314437177,597.5629052001458,0.9650235479541047,-0.01155366584608523,9.38699211259599e-12,0.25
