rho_program,s,mu,b_met,SAM,met,tlogmu,resid,gain_dlnSAM_dlnmu,alpha_real,alpha_imag,small_noncons_real,small_noncons_imag
1.0,0.0,1.0,30.0,41.339451624776814,61.18014070137853,0.3475026488509225,2.347977759776281e-12,0.7350272938075891,-0.0128260979782965,0.0,-0.0128260979782965,0.0
1.0,0.0285181488984093,1.01,30.3,41.64290699717096,62.11893218064512,0.3503279987209443,1.702283875837804e-11,0.7312193837648137,-0.0128001573041707,0.0,-0.0128001573041707,0.0
1.0,0.2285623619586953,1.0855710949889132,32.567132849667395,43.8172883398893,69.26503088946441,0.3713787575549446,5.940137270954438e-11,0.678033710304232,-0.012629033590676,0.0,-0.012629033590676,0.0
1.0,0.4986796512004757,1.2052119908807737,36.1563597264232,46.86722204969178,80.67798865774662,0.4032781922739717,8.095071279967667e-10,0.6059270306262672,-0.0124270261616677,0.0,-0.0124270261616677,0.0
1.0,0.8634969704662053,1.4086223025501134,42.2586690765034,51.143142473857125,100.01903564853876,0.4526220595784823,1.0509722869755931e-08,0.5100457739733943,-0.012203060294007,0.0,-0.012203060294007,0.0
1.0,1.3564469037086484,1.7939031659187394,53.817094977562185,57.04104114121324,135.3138738094025,0.5294862461289509,7.33743049930088e-12,0.3920421896833316,-0.011977222069826,0.0,-0.011977222069826,0.0
1.0,1.8494999075786136,2.3783528478323013,71.35058543496903,62.801097924856776,183.95856400608605,0.6146934948890487,1.1739888798881406e-11,0.2921338814911163,-0.0118212741329443,0.0,-0.0118212741329443,0.0
1.0,2.342643805504072,3.292289916099333,98.76869748298,68.11153469179955,248.22915032502328,0.7032042460475554,1.8047785488306545e-12,0.2112005157660608,-0.0117163385496326,0.0,-0.0117163385496326,0.0
1.0,2.835871145991734,4.759457007490673,142.7837102247202,72.71033204465824,327.80529995830625,0.7890593577923004,1.3207374898741584e-11,0.1482858445408071,-0.0116470145720189,0.0,-0.0116470145720189,0.0
1.0,3.3291501565023136,7.163542829971094,214.90628489913283,76.43379304389472,417.81182097174377,0.8650533646357449,1.1152894358937336e-11,0.1221446682160757,-0.0116019429810783,0.0,-0.0116019429810783,0.0
