method,scale,mu_inf
linear_tail_fit,1000000.0,2.1518025346174974
linear_tail_fit,10000000.0,2.1518025427098206
linear_tail_fit,100000000.0,2.151802543268009
linear_tail_fit,1000000000.0,2.1518025408551797
balance_corrected_point,10000000.0,2.1518025398528566
balance_corrected_point,30000000.0,2.1518025413388653
balance_corrected_point,100000000.0,2.151802540773859
balance_corrected_point,300000000.0,2.151802543017814
balance_corrected_point,1000000000.0,2.1518025465840336
balance_corrected_point,3000000000.0,2.1518025387567583
balance_corrected_point,10000000000.0,2.151802544065172
nonlinear_tail_fit,10000000.0,2.151802539828513
