daytime_h,aa_input,SAM_uM
0.0,0.25,36.944781580681926
0.5,0.25,24.233886812397618
1.0,0.25,18.375022506422816
1.5,0.25,15.920609740101188
2.0,0.25,14.924466291368827
2.5,0.25,14.559252645027687
3.0,0.25,14.476245224691736
3.5,0.25,14.516571054848985
4.0,0.25,14.603700168379408
4.5,0.25,14.700387097220728
5.0,0.25,14.789273464191528
5.5,0.25,14.86327553993736
6.0,0.25,14.920526768231747
6.5,0.25,14.961654209855247
7.0,1.75,14.9883309483156
7.5,1.75,40.19059273239124
8.0,1.75,67.849017665679
8.5,1.75,89.45139324563962
9.0,1.75,106.40507906149088
9.5,1.75,119.97485176877989
10.0,1.75,131.057397396819
10.5,0.25,102.40705213000469
11.0,0.25,65.29527111945185
11.5,0.25,40.57031078792599
12.0,1.75,26.28160205377532
12.5,1.75,45.537925953722144
13.0,1.75,70.5503825246757
13.5,1.75,90.67777885531022
14.0,1.75,106.68496699777738
14.5,1.75,119.66507494129088
15.0,1.75,130.42108655323858
15.5,0.25,101.54640325731408
16.0,0.25,64.16636882725192
16.5,0.25,39.41740273300312
17.0,0.25,25.38320941310783
17.5,0.25,18.837232084109075
18.0,3.25,16.089486907017267
18.5,3.25,53.69517021023076
19.0,3.25,101.49400854243451
19.5,3.25,151.31464313126304
20.0,3.25,203.94188295490255
20.5,3.25,254.3875523344428
21.0,3.25,299.9225434871614
21.5,0.25,248.5486449810396
22.0,0.25,181.55818901271803
22.5,0.25,131.49838701481463
23.0,0.25,91.52004458764893
23.5,0.25,59.49433691128702
24.0,0.25,36.9447819638006
