reaction,state,dv_dx
V_MTHFR,sah,0.7507942957817899
V_MTHFR,sam,-0.7507942957817899
V_BHMT,sah,-0.12452262594195605
V_BHMT,sam,-0.12452262594195605
V_MATI,c_gsg,-0.05930558125120274
V_MATIII,c_gsg,-0.018372419027287996
V_GNMT,c_5mf,-9.144901108848478
V_CBS,sah,0.2746373617750513
V_CBS,sam,0.2746373617750513
V_GCS,c_gsh,-0.030251509677974228
reaction_1,parameter_1,0.8229719446052907
reaction_2,species_2,0.00023782524072586822
reaction_2,species_3,-0.018882631630512518
reaction_2,parameter_3,0.5015585241646209
reaction_3,species_4,-0.009499227446825933
reaction_3,parameter_2,0.09828214686310319
reaction_4,species_3,-0.05470883046231628
reaction_4,parameter_2,0.15239421141646597
reaction_5,species_3,-0.057924805353736175
reaction_5,species_4,-0.01737744160612086
reaction_5,species_5,-1.4481201338434049
reaction_6,species_3,-0.04078920514004308
reaction_6,species_6,-0.0437027197929033
