kind,key,value_v1,value_v2,classification,autonomous_effect
species,H2O2,"('0.01', 'true', 'true')","('0.015', 'true', 'true')",oxidative-stress control,retained as an explicit control in the common autonomous model
species,b_met,"('7.5', 'true', 'false')","('30', 'true', 'false')",meal-forcing/input bookkeeping,removed/neutralized by autonomous basal-input normalization or numerically null
species,b_ser,"('37.5', 'true', 'false')","('150', 'true', 'false')",meal-forcing/input bookkeeping,removed/neutralized by autonomous basal-input normalization or numerically null
species,c_gly,"('927.560131015361', 'false', 'false')","('927.56013101536', 'false', 'false')",rounding-only initial value,removed/neutralized by autonomous basal-input normalization or numerically null
parameters,V_oCys_b,17.5,70,meal-forcing/input bookkeeping,removed/neutralized by autonomous basal-input normalization or numerically null
parameters,V_oGlu_b,68.25,273,meal-forcing/input bookkeeping,removed/neutralized by autonomous basal-input normalization or numerically null
parameters,V_oGly_b,157.5,630,meal-forcing/input bookkeeping,removed/neutralized by autonomous basal-input normalization or numerically null
parameters,Vm_MAT1,260,0,MAT reparameterization,retained as an explicit control in the common autonomous model
parameters,Vm_MAT3,220,0,MAT reparameterization,retained as an explicit control in the common autonomous model
parameters,aa_input,0.25,1,meal-forcing/input bookkeeping,removed/neutralized by autonomous basal-input normalization or numerically null
parameters,breakfast,1.75,1,meal-forcing/input bookkeeping,removed/neutralized by autonomous basal-input normalization or numerically null
parameters,dinner,3.25,1,meal-forcing/input bookkeeping,removed/neutralized by autonomous basal-input normalization or numerically null
parameters,fasting,0.25,1,meal-forcing/input bookkeeping,removed/neutralized by autonomous basal-input normalization or numerically null
parameters,lunch,1.75,1,meal-forcing/input bookkeeping,removed/neutralized by autonomous basal-input normalization or numerically null
parameters,parameter_19,<missing>,220,MAT reparameterization,retained as an explicit control in the common autonomous model
functions,Constant_flux__reversible,"('math', (), '', (('lambda', (), '', (('bvar', (), '', (('ci', (), 'v', ()),)), ('ci', (), 'v', ()))),))",<missing>,syntactic identity-function rename,removed/neutralized by autonomous basal-input normalization or numerically null
functions,function_1,<missing>,"('math', (), '', (('lambda', (), '', (('bvar', (), '', (('ci', (), 'v', ()),)), ('ci', (), 'v', ()))),))",syntactic identity-function rename,removed/neutralized by autonomous basal-input normalization or numerically null
functions,function_4_V_MATII,<missing>,"('math', (), '', (('lambda', (), '', (('bvar', (), '', (('ci', (), 'Ki', ()),)), ('bvar', (), '', (('ci', (), 'Km', ()),)), ('bvar', (), '', (('ci', (), 'met', ()),)), ('bvar', (), '', (('ci', (), 'parameter_19', ()),)), ('bvar', (), '', (('ci', (), 'sam', ()),)), ('apply', (), '', (('divide', (), '', ()), ('ci', (), 'parameter_19', ()), ('apply', (), '', (('plus', (), '', ()), ('cn', (), '1', ()), ('apply', (), '', (('power', (), '', ()), ('apply', (), '', (('divide', (), '', ()), ('apply', (), '', (('times', (), '', ()), ('ci', (), 'Km', ()), ('apply', (), '', (('plus', (), '', ()), ('cn', (), '1', ()), ('apply', (), '', (('divide', (), '', ()), ('ci', (), 'sam', ()), ('ci', (), 'Ki', ()))))))), ('ci', (), 'met', ()))), ('cn', (), '0.76', ()))))))))),))",MAT reparameterization,retained as an explicit control in the common autonomous model
rules,parameter_1,"('rateRule', ""('math', (), '', (('apply', (), '', (('minus', (), '', ()), ('apply', (), '', (('times', (), '', ()), ('cn', (), '60', ()), ('ci', (), 'parameter_7', ()), ('apply', (), '', (('divide', (), '', ()), ('cn', (), '1', ()), ('apply', (), '', (('plus', (), '', ()), ('cn', (), '1', ()), ('apply', (), '', (('times', (), '', ()), ('ci', (), 'parameter_5', ()), ('apply', (), '', (('plus', (), '', ()), ('ci', (), 'species_4', ()), ('ci', (), 'species_3', ()))))))))))), ('apply', (), '', (('times', (), '', ()), ('ci', (), 'parameter_6', ()), ('ci', (), 'parameter_4', ()), ('ci', (), 'parameter_1', ()))))),))"")","('rateRule', ""('math', (), '', (('apply', (), '', (('minus', (), '', ()), ('apply', (), '', (('times', (), '', ()), ('cn', (), '60', ()), ('apply', (), '', (('divide', (), '', ()), ('cn', (), '65.06', ()), ('ci', (), 'sam', ()))), ('ci', (), 'parameter_7', ()), ('apply', (), '', (('divide', (), '', ()), ('cn', (), '1', ()), ('apply', (), '', (('plus', (), '', ()), ('cn', (), '1', ()), ('apply', (), '', (('times', (), '', ()), ('ci', (), 'parameter_5', ()), ('apply', (), '', (('plus', (), '', ()), ('ci', (), 'species_4', ()), ('ci', (), 'species_3', ()))))))))))), ('apply', (), '', (('times', (), '', ()), ('ci', (), 'parameter_6', ()), ('ci', (), 'parameter_4', ()), ('ci', (), 'parameter_1', ()))))),))"")",inverse-SAM ODC/SAMDC feedback,retained as an explicit control in the common autonomous model
