process,state,theta_exact,fixed_linear
ODC,P,-0.01324293878444748,0
ODC,Vmaxodc,1,1
SAMdc,P,0.002323838059936542,0
SAMdc,S,-0.1039643168756622,0
SAMdc,SAM,0.4908324803831353,0
SAMdc,A,-0.001984285352434458,0
SAMdc,Vmaxsamdc,0.9999999999999997,1
SSAT_for_S,D,-0.1817720501165517,0
SSAT_for_S,S,0.4896626345990067,0
SSAT_for_S,Vmaxssat,0.9999999999999999,1
SSAT_for_D,D,0.8182279498834484,0
SSAT_for_D,S,-0.5103373654009934,0
SSAT_for_D,Vmaxssat,1,1
PAO_for_aD,D,-0.2360464623441213,0
PAO_for_aD,S,-0.5947455416415004,0
PAO_for_aD,aD,0.9908586123492384,0
PAO_for_aD,aS,-0.006288876626896646,0
PAO_for_aS,D,-0.2360464623441214,0
PAO_for_aS,S,-0.5947455416415007,0
PAO_for_aS,aD,-0.009141387650761864,0
PAO_for_aS,aS,0.9937111233731034,0
SpdS,P,0.5017318703519408,0
SpdS,D,-0.4285849601334756,0
SpdS,A,0.987007419604321,0
SpmS,D,0.3235821533257567,0
SpmS,S,-0.6737517400065877,0
SpmS,A,0.9640944358254937,0
MAT,SAM,-0.3204297981640308,0
P_efflux,P,1,1
aD_efflux,aD,1,1
ODC_syn,D,-0.5653188955110304,0
ODC_syn,S,-0.4273153124668163,0
ODC_deg,Antz,1,1
ODC_deg,Vmaxodc,1,1
SSAT_syn,D,0.004194920321162946,0
SSAT_syn,S,0.003170871700990518,0
SSAT_deg,D,-0.5653188955110303,0
SSAT_deg,S,-0.4273153124668163,0
SSAT_deg,Vmaxssat,1,1
SAMdc_syn,D,-0.5653188955110303,0
SAMdc_syn,S,-0.4273153124668163,0
SAMdc_deg,Vmaxsamdc,1,1
Antz_syn,D,0.2425912438820536,0
Antz_syn,S,0.1833707558765842,0
Antz_deg,Antz,1,1
