factor,rho,n,p_stable,p_real_unstable,p_complex_unstable,alpha_q01,alpha_median,alpha_q99,n_free_elasticities
2,0,5000,1.0,0.0,0.0,-0.020512057707083562,-0.0160596582153164,-0.008788852442174524,129
2,0.25,5000,1.0,0.0,0.0,-0.020342376303012537,-0.014839696984148228,-0.008266175255074577,133
2,0.5,5000,1.0,0.0,0.0,-0.020241254259299624,-0.013909036899234464,-0.007579748411216251,133
2,0.75,5000,1.0,0.0,0.0,-0.02018385195397984,-0.01341935580656115,-0.007446123130012918,133
2,0.88,5000,1.0,0.0,0.0,-0.020115213246054423,-0.013516365878420106,-0.007443432580228809,133
2,1.0,5000,1.0,0.0,0.0,-0.020118482184575764,-0.01360688334168535,-0.007401993833218513,127
3,0,5000,0.9908,0.009,0.0002,-0.021656679178701316,-0.016352129127150936,-0.0013064006158046272,129
3,0.25,5000,0.9968,0.0032,0.0,-0.021466896802589185,-0.015160701345385611,-0.005784597567713283,133
3,0.5,5000,0.998,0.002,0.0,-0.0212649034795897,-0.014585802067766683,-0.005434610945351249,133
3,0.75,5000,0.997,0.0028,0.0002,-0.02108760413625962,-0.0143191864314322,-0.005251065411165317,133
3,0.88,5000,0.997,0.0028,0.0002,-0.021084632240559394,-0.014117198105786165,-0.005085140485618248,133
3,1.0,5000,0.9968,0.0022,0.001,-0.02115985115173561,-0.014446024358712159,-0.0055314461161659985,127
5,0,5000,0.936,0.0586,0.0054,-0.02397841908357233,-0.016050237957361345,0.3768592640078508,129
5,0.25,5000,0.9474,0.0488,0.0038,-0.023660000724808117,-0.015527232904168542,0.18260107372394999,133
5,0.5,5000,0.9542,0.038,0.0078,-0.024195444171706503,-0.014621059275224342,0.09795784424430365,133
5,0.75,5000,0.9478,0.0392,0.013,-0.02343467267156766,-0.014688346119561943,0.10543015879008567,133
5,0.88,5000,0.9434,0.0366,0.02,-0.023586052987237517,-0.01439465767941001,0.11211108841607265,133
5,1.0,5000,0.9398,0.036,0.0242,-0.023447178389854346,-0.015042230571490067,0.1817260910680974,127
3,0,20000,0.9926,0.0073,0.0001,-0.02171064,-0.01658562,-0.00510443,129
3,1,20000,0.9968,0.0012,0.002,-0.02113041,-0.01453254,-0.00528608,127
5,0,20000,0.9303,0.06495,0.00475,-0.02419157,-0.01601454,0.42780643,129
5,1,20000,0.937,0.0388,0.0242,-0.02331157,-0.01469766,0.17700098,127
