process,state,theta_exact,d_Re_lambda_d_theta,d_Im_lambda_d_theta
SAMdc,SAM,0.49083248038313526,0.00035870735613612037,6.228492965528257e-05
SSAT_for_S,S,0.48966263459900666,-0.0002515763696539844,0.00021983366413043728
SAMdc,P,0.002323838059936542,-0.00021355599374387607,-0.00014824736029690408
SSAT_for_D,S,-0.5103373654009934,-0.00018303705155275213,-5.510934910453111e-05
SAMdc_syn,S,-0.42731531246681626,0.00016968696369898395,0.00013931252565392224
SAMdc,S,-0.10396431687566215,0.00015546293766210972,0.00013904059983438702
SSAT_for_S,D,-0.18177205011655173,-0.00015461816440902332,0.00017166686052273034
SAMdc,A,-0.0019842853524344576,0.0001397658825697326,3.328555747000861e-06
MAT,SAM,-0.32042979816403083,0.00013249744552391862,-0.0007020850381102284
SSAT_for_D,D,0.8182279498834484,-0.0001302141129297385,-2.275601967060767e-05
SAMdc_syn,D,-0.5653188955110303,0.0001279860964388188,8.16700201932731e-05
SSAT_syn,S,0.0031708717009905183,-0.00011381999661351505,0.0007326597988238995
SSAT_deg,S,-0.42731531246681626,0.00011381999661351505,-0.0007326597988238995
SpmS,S,-0.6737517400065877,8.399522483798494e-05,-0.00015708864217018823
SpdS,P,0.5017318703519408,7.764071720609e-05,-0.00020268860841023834
SpmS,D,0.32358215332575674,4.4727415781514734e-05,-0.00011477817817278496
SpdS,D,-0.42858496013347563,-4.3462097744535744e-05,0.00011230300077467309
ODC_syn,S,-0.4273153124668163,-3.577906785949547e-05,9.322575274684636e-05
Antz_syn,S,0.18337075587658422,3.348102003974951e-05,-9.963741724045017e-05
ODC,P,-0.013242938784447484,3.2332787922723094e-05,-0.00011566920609263481
SpmS,A,0.9640944358254937,-2.5458588904549162e-05,-0.00011666008084684418
SpdS,A,0.987007419604321,2.515246875795657e-05,0.00011398296168680863
SSAT_syn,D,0.0041949203211629465,-1.777922926070319e-05,0.0005124223029402686
SSAT_deg,D,-0.5653188955110303,1.777922926070319e-05,-0.0005124223029402686
ODC_syn,D,-0.5653188955110304,-1.6883918200170933e-05,6.695657288162404e-05
Antz_syn,D,0.2425912438820536,1.4778156129380271e-05,-7.116987289215379e-05
PAO_for_aD,aD,0.9908586123492384,3.399307745011182e-07,1.1535082242684902e-06
PAO_for_aD,S,-0.5947455416415004,-2.9511636190360235e-07,5.690777168075589e-07
PAO_for_aD,aS,-0.006288876626896646,1.7395340810161253e-07,1.3373354615549282e-06
PAO_for_aD,D,-0.23604646234412133,-1.5566259219113032e-07,4.1492308720803006e-07
PAO_for_aS,aS,0.9937111233731034,-7.23874085672982e-08,1.0887102851186992e-07
PAO_for_aS,S,-0.5947455416415007,-5.767315878341117e-08,2.266638482809058e-08
PAO_for_aS,aD,-0.009141387650761864,-4.872599719540904e-08,1.0618253238475761e-07
PAO_for_aS,D,-0.23604646234412138,-3.7843101048651295e-08,2.043965040623985e-08
